policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
oracle,burst,3001,4032,2015,0.3312653425868832,0.01439109387008011,0.1488833746898263,0.24813895781637718,7.462861869313482,109.0,0.9781414367137811,86.20347394540943,49.99881350867469,1.2,0.053599999999999995,0.1356453547246729,0.10533333333333311,0.060117063364761004,50.66666666666564,3,low,1
error_trigger,burst,3002,6048,2015,0.3314146018633513,0.04738990853882729,0.6782464846980976,0.3308519437551696,8.467659222497932,98.0,0.9875368086378901,86.10421836228288,3.463853232645737,0.7471468476637844,0.21049999999998806,0.1362556046404879,2.7533333333335595,0.008975623320437397,43.999999999999396,3,low,1
generic_voi,burst,3002,6048,2015,0.33195419308421564,0.047394889407039426,0.6782464846980976,0.3308519437551696,7.324400330851944,97.0,0.9858219466282266,86.10421836228288,7.229637777520616,0.7004625571469227,0.210499999999988,0.1362556046404879,2.4200000000002655,0.008975623320437397,45.66666666666618,3,low,1
ar1_growth_voi,burst,3002,6048,2015,0.41742057473536226,0.09331232228864593,1.3399503722084367,0.6782464846980976,3.5349875930521093,30.0,0.6745748710860835,86.10421836228288,9.21828038505193,1.2,0.8105000000000194,0.1362556046404879,14.993999999999808,0.010583941567962834,218.4444444444432,3,low,1
cvoi_sf,burst,3002,6048,2015,0.40143643307625126,0.08250734323330575,1.1579818031430935,0.6947890818858561,1.5990074441687345,14.0,0.9956385600725451,86.10421836228288,21.10144718510859,0.1856132115951838,0.6455000000000015,0.1362556046404879,11.32733333333315,0.0,21.888888888889536,3,low,1
b2croi_v8q,burst,3002,6048,2015,0.3364881346268083,0.022876443508846562,0.3143093465674111,0.1488833746898263,7.543920595533499,97.0,0.9890436599602992,86.10421836228288,297.3418794029274,0.549331806376566,0.06230000000000004,0.1362556046404879,0.27933333333333327,0.008975623320437397,42.66666666666635,3,low,1
oracle,burst,3002,6048,2015,0.33823551999972007,0.020659349552358604,0.2812241521918941,0.13234077750206782,8.482712985938793,98.0,0.9866656849158112,86.10421836228288,54.085867770626294,0.668635643498496,0.06230000000000004,0.1362556046404879,0.27933333333333327,0.008975623320437397,45.77777777777726,3,low,1
error_trigger,burst,3003,8064,2015,0.29420561852322374,0.05024893624160226,0.7113316790736146,0.41356492969396197,5.129032258064516,87.0,0.9729575912246964,86.74937965260547,3.868562952793266,0.5781000611705934,0.22550000000000647,0.12818374169404995,3.224000000000133,0.0,59.333333333333975,3,low,1
generic_voi,burst,3003,8064,2015,0.29259076912712056,0.04626210456847446,0.6451612903225806,0.41356492969396197,4.994540942928039,84.0,0.9728065326807744,86.74937965260547,7.682311245778728,0.5928320822734224,0.17690000000000072,0.12818374169404995,2.9380000000000086,0.0,59.66666666666733,3,low,1
ar1_growth_voi,burst,3003,8064,2015,0.4043955525703054,0.1060860868611985,1.52191894127378,0.8105872622001655,3.1861042183622827,33.0,0.6963162623539982,86.74937965260547,9.385193178139017,1.2,0.9605000000000536,0.12818374169404995,18.708666666666332,0.0,208.44444444444426,3,low,1
