variable_set,network,seed,window,policy,baseline,loss_mean_delta,missed_violation_pct_delta,rmse_mean_delta,choice_fairness_delta
temperature_inside,burst,14,0,b2croi_v8q,error_trigger,-0.01424382094046792,-0.1853138753764188,0.0020353137472354788,0.08434840790320486
temperature_inside,burst,14,1,b2croi_v8q,error_trigger,-0.012504852907111418,-0.18531387537641883,0.007842270961855802,0.1175294740800108
temperature_inside,burst,15,0,b2croi_v8q,error_trigger,-0.015635806115357885,-0.1853138753764188,-0.0009213745949680496,0.09488436016070456
temperature_inside,burst,15,1,b2croi_v8q,error_trigger,-0.005903862636089879,-0.06949270326615706,0.003083481438919372,0.13557024976451149
temperature_inside,burst,16,0,b2croi_v8q,error_trigger,-0.012159451007644203,-0.13898540653231412,-0.00023695290832387306,0.09309944127913994
temperature_inside,burst,16,1,b2croi_v8q,error_trigger,-0.007644510076441973,-0.09265693768820941,0.0009242887511451969,0.12420289756530267
temperature_inside,burst,17,0,b2croi_v8q,error_trigger,-0.013213412091730367,-0.13898540653231412,-0.00914168950008698,0.09945510328249696
temperature_inside,burst,17,1,b2croi_v8q,error_trigger,-0.007648002084781098,-0.09265693768820941,-0.0024856064092766694,0.1336375285993162
temperature_inside,burst,18,0,b2croi_v8q,error_trigger,-0.01529226893676164,-0.20847810979847115,-0.0021017110235582726,0.08833469655148751
temperature_inside,burst,18,1,b2croi_v8q,error_trigger,-0.014242743803567295,-0.18531387537641875,0.0015354551689051865,0.12015698977086497
temperature_inside,burst,19,0,b2croi_v8q,error_trigger,-0.011117923326384064,-0.13898540653231412,-2.4090529079284773e-05,0.0890352456428144
temperature_inside,burst,19,1,b2croi_v8q,error_trigger,-0.01006966643502432,-0.13898540653231412,0.006428257455499242,0.1289145097095754
temperature_inside,severe_burst,0,0,b2croi_v8q,error_trigger,-0.010355640491081765,-0.16214964095436635,0.03237294126781265,0.0778666560704776
temperature_inside,severe_burst,0,1,b2croi_v8q,error_trigger,-0.013165855918461894,-0.16214964095436646,0.015098752427788409,0.10377986876526746
temperature_inside,severe_burst,1,0,b2croi_v8q,error_trigger,-0.008669498494324761,-0.09265693768820939,0.007362923224340845,0.07753132769604376
temperature_inside,severe_burst,1,1,b2croi_v8q,error_trigger,-0.007983541811443132,-0.0926569376882094,0.004474398698612547,0.09966981345389125
temperature_inside,severe_burst,2,0,b2croi_v8q,error_trigger,-0.019427102154273797,-0.3242992819087329,0.014673586391691806,0.1023008027715111
temperature_inside,severe_burst,2,1,b2croi_v8q,error_trigger,-0.012833871901783646,-0.1853138753764188,0.009754544083527328,0.12604741153516985
temperature_inside,severe_burst,3,0,b2croi_v8q,error_trigger,-0.010068641417651146,-0.11582117211026177,0.005837253617465843,0.08559355064155405
temperature_inside,severe_burst,3,1,b2croi_v8q,error_trigger,-0.00763873059995367,-0.11582117211026177,0.0030939199065210254,0.10800556580140652
temperature_inside,severe_burst,4,0,b2croi_v8q,error_trigger,-0.007637259671067875,-0.0926569376882094,0.004288129608543745,0.08623412143883635
temperature_inside,severe_burst,4,1,b2croi_v8q,error_trigger,-0.004177982395181835,-0.09265693768820943,-0.005909735657049442,0.11361216447826927
temperature_inside,severe_burst,5,0,b2croi_v8q,error_trigger,-0.012486529997683581,-0.16214964095436646,0.015054031223588449,0.0638317583603818
temperature_inside,severe_burst,5,1,b2croi_v8q,error_trigger,-0.004161541579800785,-0.046328468844104714,0.004946495584554511,0.11654618157267915
temperature_inside,severe_burst,6,0,b2croi_v8q,error_trigger,-0.012117691684039839,-0.18531387537641886,0.02404847423330031,0.08405629056109343
temperature_inside,severe_burst,6,1,b2croi_v8q,error_trigger,-0.003136697938383134,-0.02316423442205237,-0.004896545898983695,0.11431338788234413
temperature_inside,severe_burst,7,0,b2croi_v8q,error_trigger,-0.009379517025712304,-0.11582117211026166,0.0008360312642712864,0.08968116248324276
temperature_inside,severe_burst,7,1,b2croi_v8q,error_trigger,-0.015596803335649756,-0.1853138753764188,0.021412266078544573,0.09191902019119846
temperature_inside,severe_burst,8,0,b2croi_v8q,error_trigger,-0.007296044706972437,-0.16214964095436646,3.1082241903734875e-05,0.08793689447042852
temperature_inside,severe_burst,8,1,b2croi_v8q,error_trigger,-0.011796971276349315,-0.11582117211026176,0.010528262272682887,0.1184784254607476
temperature_inside,severe_burst,9,0,b2croi_v8q,error_trigger,-0.008649061848505904,-0.09265693768820937,0.01633430738759284,0.08669134930687683
temperature_inside,severe_burst,9,1,b2croi_v8q,error_trigger,-0.007962473940236275,-0.0926569376882094,0.012456832017244568,0.1161030575976858
temperature_inside,severe_burst,10,0,b2croi_v8q,error_trigger,-0.016673951818392402,-0.2316423442205235,0.003540807437480753,0.08300386057316023
temperature_inside,severe_burst,10,1,b2croi_v8q,error_trigger,-0.00832319318971508,-0.13898540653231412,0.007831537296767443,0.11964257028880187
temperature_inside,severe_burst,11,0,b2croi_v8q,error_trigger,-0.005552322214500808,-0.06949270326615704,0.005842272009661809,0.09617248911610898
temperature_inside,severe_burst,11,1,b2croi_v8q,error_trigger,-0.011463209404679174,-0.16214964095436646,0.0017964072399017095,0.11708246715371728
temperature_inside,severe_burst,12,0,b2croi_v8q,error_trigger,-0.009002993977299048,-0.18531387537641875,0.009268784831229504,0.0845809504066567
temperature_inside,severe_burst,12,1,b2croi_v8q,error_trigger,-0.010454372249247163,-0.13898540653231412,-0.009028572698942527,0.10025244387779675
temperature_inside,severe_burst,13,0,b2croi_v8q,error_trigger,-0.0013878329858698218,0.0,0.0002644514200849102,0.0762162518412196
temperature_inside,severe_burst,13,1,b2croi_v8q,error_trigger,-0.02565592425295343,-0.3011350474866805,0.02103151776949247,0.10279650812987606
temperature_inside,severe_burst,14,0,b2croi_v8q,error_trigger,-0.009366186008802405,-0.11582117211026177,0.006537527538216237,0.08341484068105287
temperature_inside,severe_burst,14,1,b2croi_v8q,error_trigger,-0.0038369064164929315,-0.04632846884410469,-0.007357194486309726,0.09836363051295416
temperature_inside,severe_burst,15,0,b2croi_v8q,error_trigger,-0.025013278897382436,-0.25480657864257583,0.002280550408736426,0.06551913319236713
temperature_inside,severe_burst,15,1,b2croi_v8q,error_trigger,-0.03716178480426222,-0.5791058605513087,0.006355658692098198,0.12510550771683848
temperature_inside,severe_burst,16,0,b2croi_v8q,error_trigger,-0.012501384063006715,-0.18531387537641886,0.001948206359966953,0.059604137398137524
temperature_inside,severe_burst,16,1,b2croi_v8q,error_trigger,-0.009735273337966178,-0.13898540653231412,-0.004508457610156502,0.11102600348095715
temperature_inside,severe_burst,17,0,b2croi_v8q,error_trigger,-0.019445002316423442,-0.2548065786425759,0.003954334412790417,0.07362675054569601
temperature_inside,severe_burst,17,1,b2croi_v8q,error_trigger,-0.0024339471855455187,-0.06949270326615706,-0.00072559055886523,0.11902073143334724
temperature_inside,severe_burst,18,0,b2croi_v8q,error_trigger,-0.01736790016214964,-0.25480657864257583,0.0029184046978900646,0.08566138653004274
