N,heterogeneity,bw,network,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,loss_mean_delta_mean,loss_mean_delta_ci95,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,choice_fairness_delta_mean,choice_fairness_delta_ci95
3,high,1,burst,error_trigger,4,0.00826989772045958,0.020133909335693468,-0.031087702413911088,0.00906875841467208,-0.4342431761786601,0.16446467314764313,0.0003588649348647832,0.0007526528967703714
3,high,1,burst,generic_voi,4,0.010870153439318367,0.01791730246631387,-0.034845242972167595,0.013086118820527801,-0.49214226633581476,0.2516304494407484,0.00111771409110481,0.0009499146369020872
3,high,1,burst,cvoi_sf,4,-0.05810618585893214,0.0198966974589711,-0.04331839486778916,0.006100276079787828,-0.5252274607113316,0.10113409388899168,-0.0008617635503732346,0.0014976654500217657
3,high,1,burst,h_no_mode,4,-0.009647539013816195,0.008423101830421224,0.0025160841164882566,0.0022489964626734404,0.0454921422663358,0.04263617083346652,0.00048153516885146574,0.001312573583990805
3,high,1,burst,h_no_constraint_bonus,4,-0.008885369278123723,0.008321046009752305,0.002523907232593281,0.002244505784261365,0.0454921422663358,0.04263617083346652,0.0007291846004692515,0.0011068872466232335
3,high,1,burst,h_no_rmse_cost,4,0.0004904900724138767,0.0032647086540528616,0.0005674377256700159,0.00047364366274461287,0.004135649296939617,0.008105872622001648,-0.0008432634632561942,0.0007144961911889197
3,high,1,burst,h_no_reliability,4,-0.0012579872762000927,0.005936654356489451,0.0006159945597871892,0.0018743995100915687,0.012406947890818844,0.03594720706296408,0.0003545268323947026,0.0002223053391687346
3,high,1,burst,oracle,4,-0.008118450280346703,0.006903687808261446,0.0025320719004957594,0.0022551877907381573,0.0454921422663358,0.04263617083346652,0.0003243516566686644,0.000917438346815659
3,high,1,severe_burst,error_trigger,4,0.003827841440925017,0.008286414028163418,-0.034405992815131375,0.00895917420354049,-0.49214226633581476,0.14522864689682,0.001675168740146421,0.0007577021569886549
3,high,1,severe_burst,generic_voi,4,0.006265652230078578,0.004432227368714312,-0.037525565544279896,0.01473168737185439,-0.5500413564929695,0.2625351868633188,0.0015823045081856668,0.0013054853723769527
3,high,1,severe_burst,cvoi_sf,4,-0.05420222685033088,0.010536712427689913,-0.04816505195840666,0.005807299058278568,-0.5872622001654261,0.11577501836181968,0.0008913002546974691,0.0011580475543863456
3,high,1,severe_burst,h_no_mode,4,-0.008051044346855607,0.007334801092120787,0.006015030770920379,0.0033730403364532857,0.0703060380479735,0.05018663388085623,0.002210964407589444,0.0015468511578238156
3,high,1,severe_burst,h_no_constraint_bonus,4,-0.00518160306956672,0.005579516762683993,0.0026599080021938257,0.002548201404996636,0.016542597187758412,0.0591969237777848,0.0019132610520260218,0.0010513528903636398
3,high,1,severe_burst,h_no_rmse_cost,4,0.0004559870875647243,0.030181590407694615,-0.0005798978988610336,0.005204912849218899,-0.02067824648469821,0.07051022102942318,-0.0001354322024646748,0.0001296622102882909
3,high,1,severe_burst,h_no_reliability,4,-0.00061074923914059,0.0039081395990397,0.004211496138336426,0.0020297130819496747,0.0413564929693962,0.020929273114327372,0.00024957396492775175,0.0004693968780678632
3,high,1,severe_burst,oracle,4,-0.008149941679866157,0.0038206435644174475,0.006192087211355951,0.0031682140635584262,0.0744416873449131,0.042892246233966855,0.002036055076548998,0.0014337591048669057
3,low,1,burst,error_trigger,4,0.0034470288530021875,0.004176570792142268,-0.026631905756271522,0.007358682175717072,-0.3722084367245658,0.08213239851391924,0.0012354854868210086,0.00297264426793497
3,low,1,burst,generic_voi,4,0.006824337857556345,0.00448849062455303,-0.025673210461452746,0.0075222331441097455,-0.35153019023986765,0.10620446168675415,1.945451646964691e-05,0.0026625505721243965
3,low,1,burst,cvoi_sf,4,-0.07112243970316823,0.016162126926817122,-0.0399022529262884,0.00952105449251727,-0.4755996691480563,0.10454166683049367,-0.01699191743538686,0.010200496888892885
3,low,1,burst,h_no_mode,4,-0.004041687814193506,0.001591907984486954,0.0029364714974319493,0.0011422183946097407,0.041356492969396204,0.020929273114327372,0.003275823818582768,0.0023488663208317104
3,low,1,burst,h_no_constraint_bonus,4,-0.004255812524420768,0.0012321561014713431,0.002934832932598428,0.0011417763875616494,0.041356492969396204,0.020929273114327372,0.002897053613213879,0.0022631732745694993
3,low,1,burst,h_no_rmse_cost,4,0.001182703644604599,0.0020739660474712505,0.001066244358389203,0.0009045084988349755,0.01654259718775849,0.013236834562600015,-0.0005148101258091176,0.0006811916873955086
3,low,1,burst,h_no_reliability,4,-0.00011891938791104562,0.0007190923175400555,0.0013015577088973207,0.0013405523206466402,0.020678246484698112,0.02039933208316882,0.0011729058429010286,0.00047368369837799587
3,low,1,burst,oracle,4,-0.0035132557074944587,0.0013085835582299422,0.0029418094275657667,0.0011394802837225084,0.041356492969396204,0.020929273114327372,0.0025523008295760263,0.0023380418363119805
3,low,1,severe_burst,error_trigger,4,0.013547456986992223,0.01458752572170202,-0.023792038648952712,0.006947782525735594,-0.3473945409429281,0.1262713539193489,0.0031584834891587588,0.0019025296547953666
3,low,1,severe_burst,generic_voi,4,0.014737604225337375,0.010830615956132139,-0.024466074858423142,0.006544294757206526,-0.35980148883374696,0.12158808933002484,0.0026064168257371456,0.003668817094571168
3,low,1,severe_burst,cvoi_sf,4,-0.04740532302149597,0.009086118359631577,-0.04203331902494171,0.01238334915426166,-0.49214226633581487,0.22164287978075015,-0.01017038161999706,0.00478015705365295
3,low,1,severe_burst,h_no_mode,4,0.0024133205262504287,0.012843647785850893,0.010594358028592921,0.004773172678417228,0.14888337468982624,0.0712825356443753,0.004704879052349481,0.0009753394920551055
3,low,1,severe_burst,h_no_constraint_bonus,4,0.0022258493020614056,0.012506344794629545,0.01052852654800685,0.004690328187145883,0.14888337468982624,0.0712825356443753,0.004258630368187327,0.0013285051885539776
3,low,1,severe_burst,h_no_rmse_cost,4,-0.016054904006039955,0.03153902814095783,-0.0064366825519879215,0.0030678281623571016,-0.09511993382961131,0.08616660791133138,-0.005279427797099279,0.003776778302719411
3,low,1,severe_burst,h_no_reliability,4,0.0053030346763833225,0.008865364906448677,0.00933336171608612,0.005833084011459099,0.1364764267990074,0.0920650153661583,0.0024420386307723585,0.0008700773298492953
3,low,1,severe_burst,oracle,4,0.0019537468014913795,0.01180095360417306,0.010759897078411625,0.004961182788928005,0.15301902398676587,0.07414399933461262,0.004507945990677553,0.0012396376015083857
6,high,2,burst,error_trigger,4,0.036515102775987594,0.00985706177217748,-0.04249963445704384,0.020230033745929386,-0.6017369727047147,0.3324643196711253,0.004717890896057814,0.0015640259746409215
