N,heterogeneity,bw,network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95
3,high,1,burst,b2croi_v8,4,0.35196079172106776,0.04024201748031774,0.022107147773826198,0.00907852514273686,0.26881720430107525,0.12158808933002482,0.996566187852989,0.0025225288711075823
3,high,1,burst,cvoi_sf,4,0.41006697757999994,0.028623273989510926,0.06542554264161536,0.005592672159968949,0.7940446650124069,0.05919692377778473,0.9974279514033623,0.00124708775373084
3,high,1,burst,error_trigger,4,0.3436908940006082,0.029109931011873775,0.053194850187737286,0.006929267306899625,0.7030603804797353,0.11876325203374245,0.9962073229181243,0.002385604170455193
3,high,1,burst,generic_voi,4,0.3410906382817494,0.02932021751226356,0.05695239074599379,0.01360900041779858,0.7609594706368901,0.24371597106377912,0.9954484737618843,0.0033351938934656723
3,high,1,burst,oracle,4,0.36007924200141445,0.03619198230201236,0.01957507587333044,0.008117791857120369,0.22332506203473945,0.10464636557163685,0.9962418361963203,0.0023987439350077744
3,high,1,burst,v8_no_constraint_bonus,4,0.3608461609991915,0.034756402210708116,0.019583240541232914,0.008102051567768172,0.22332506203473945,0.10464636557163685,0.9958370032525198,0.003038512183334582
3,high,1,burst,v8_no_mode,4,0.36160833073488396,0.03401823348827917,0.01959106365733794,0.008090496721507875,0.22332506203473945,0.10464636557163685,0.9960846526841376,0.002945359960420353
3,high,1,burst,v8_no_reliability,4,0.35321877899726783,0.0353684815880078,0.021491153214039008,0.009052188417348306,0.25641025641025644,0.12592397677172784,0.9962116610205944,0.002733570956112923
3,high,1,burst,v8_no_rmse_cost,4,0.3514703016486539,0.038405124441613064,0.02153971004815618,0.008799553853542202,0.26468155500413565,0.1161527518886164,0.9974094513162453,0.0018093730250170652
3,high,1,severe_burst,b2croi_v8,4,0.6047799669728163,0.053802007200000265,0.07174915274885539,0.016774457061735012,0.8933002481389578,0.21669632095559027,0.9987685010488787,0.0009159250845729082
3,high,1,severe_burst,cvoi_sf,4,0.6589821938231473,0.04508258331565471,0.11991420470726205,0.02084602804130405,1.4805624483043838,0.31671737296610436,0.9978772007941812,0.0015451597835046162
3,high,1,severe_burst,error_trigger,4,0.6009521255318914,0.05717706550788735,0.10615514556398677,0.020395311382169556,1.3854425144747726,0.3054168316340636,0.9970933323087323,0.001465943806434285
3,high,1,severe_burst,generic_voi,4,0.5985143147427378,0.053597666928824166,0.10927471829313529,0.02924772499327074,1.4433416046319274,0.4530353765085499,0.9971861965406931,0.0020982365887524004
3,high,1,severe_burst,oracle,4,0.6129299086526825,0.053165954598901465,0.06555706553749945,0.014879517841625493,0.8188585607940446,0.20183460059601263,0.9967324459723298,0.0018969803507520322
3,high,1,severe_burst,v8_no_constraint_bonus,4,0.6099615700423832,0.05202108514092611,0.06908924474666156,0.01862644613527534,0.8767576509511994,0.26605708194296884,0.9968552399968527,0.0014023781870721587
3,high,1,severe_burst,v8_no_mode,4,0.612831011319672,0.05304381323627594,0.06573412197793502,0.014945031701379296,0.8229942100909844,0.2035096052550046,0.9965575366412892,0.0020577602053256532
3,high,1,severe_burst,v8_no_reliability,4,0.605390716211957,0.04998856260860858,0.06753765661051897,0.015184767525025953,0.8519437551695617,0.2086639082964617,0.998518927083951,0.0010617690730546933
3,high,1,severe_burst,v8_no_rmse_cost,4,0.6043239798852517,0.05044910773480457,0.07232905064771641,0.013941208155652687,0.913978494623656,0.19560754388512278,0.9989039332513433,0.001024165653372478
3,low,1,burst,b2croi_v8,4,0.3370230159875465,0.03779316315224059,0.019383534639346056,0.005504007699843039,0.21918941273779982,0.06797987710449928,0.9798303640173354,0.008886916757399678
3,low,1,burst,cvoi_sf,4,0.40814545569071475,0.02545886248231083,0.059285787565634455,0.014073361212049385,0.6947890818858561,0.1593925953093749,0.9968222814527223,0.001591413739557239
3,low,1,burst,error_trigger,4,0.33357598713454434,0.03402376824847708,0.04601544039561758,0.010976928027671407,0.5913978494623656,0.12373077561641252,0.9785948785305143,0.006875532669972003
3,low,1,burst,generic_voi,4,0.33019867812999015,0.03346081604836181,0.0450567451007988,0.012030656152705911,0.5707196029776674,0.15801254686373503,0.9798109095008657,0.0075279727291146185
3,low,1,burst,oracle,4,0.34053627169504097,0.03792215900733689,0.016441725211780285,0.005519465676011644,0.17783291976840362,0.06797987710449926,0.9772780631877593,0.006645950094965061
3,low,1,burst,v8_no_constraint_bonus,4,0.34127882851196734,0.0381376503386403,0.016448701706747625,0.0055275074374202034,0.17783291976840362,0.06797987710449926,0.9769333104041216,0.007174833984711417
3,low,1,burst,v8_no_mode,4,0.34106470380174003,0.038360046479409035,0.016447063141914107,0.00552859458653885,0.17783291976840362,0.06797987710449926,0.9765545401987527,0.006901675332229724
3,low,1,burst,v8_no_reliability,4,0.33714193537545756,0.03831658799472039,0.01808197693044873,0.005808188764551028,0.19851116625310172,0.068780609981421,0.9786574581744344,0.008750480779749475
3,low,1,burst,v8_no_rmse_cost,4,0.335840312342942,0.03745694774244834,0.01831729028095685,0.005545080362760511,0.20264681555004135,0.06535163435345391,0.9803451741431445,0.008456006264434055
3,low,1,severe_burst,b2croi_v8,4,0.6028366307140764,0.062691634792015,0.06734433049118939,0.018092197783689135,0.8519437551695614,0.27208055048625573,0.9867268979866898,0.004055419347072031
3,low,1,severe_burst,cvoi_sf,4,0.6502419537355725,0.057012826196185605,0.1093776495161311,0.025648054058708555,1.3440860215053765,0.42859042953852056,0.9968972796066868,0.002342429843146778
3,low,1,severe_burst,error_trigger,4,0.5892891737270842,0.05382591318042874,0.09113636914014211,0.024800774541474026,1.1993382961124897,0.39210980612072344,0.9835684144975311,0.003484992257863255
3,low,1,severe_burst,generic_voi,4,0.5880990264887391,0.057498887564722836,0.09181040534961254,0.024112030440659203,1.2117452440033085,0.38395377575929834,0.9841204811609526,0.0061026468409023935
3,low,1,severe_burst,oracle,4,0.600882883912585,0.06333697615258704,0.05658443341277777,0.017761179221874854,0.6989247311827957,0.2793489598722628,0.9822189519960123,0.002994443865036329
3,low,1,severe_burst,v8_no_constraint_bonus,4,0.6006107814120152,0.061691643985104815,0.056815803943182544,0.017837343004785525,0.7030603804797353,0.28063962347166943,0.9824682676185025,0.002788369769258403
3,low,1,severe_burst,v8_no_mode,4,0.600423310187826,0.06148579717253246,0.05674997246259647,0.01781116351607658,0.7030603804797353,0.28063962347166943,0.9820220189343404,0.0035007038034452426
3,low,1,severe_burst,v8_no_reliability,4,0.5975335960376932,0.05912345449909477,0.058010968775103276,0.018230504138774476,0.7154673283705542,0.28708219400139773,0.9842848593559175,0.00466017137492636
3,low,1,severe_burst,v8_no_rmse_cost,4,0.6188915347201165,0.045253156806558004,0.07378101304317732,0.020942303497903356,0.9470636889991728,0.34399856526789885,0.9920063257837891,0.0023121316330943966
6,high,2,burst,b2croi_v8,4,0.3139343335814031,0.031937383232395686,0.019071693572322974,0.0017356092353940005,0.22746071133167906,0.01046463655716368,0.9992306784153813,0.0006211642610066586
6,high,2,burst,cvoi_sf,4,0.34977711008012874,0.024718701127638777,0.07021505941208661,0.012767545244758115,0.8891645988420183,0.1869043852595626,0.9932790590949204,0.0017202405746288211
6,high,2,burst,error_trigger,4,0.2774192308054155,0.027539515946767158,0.061571328029366816,0.02129870432066954,0.8291976840363938,0.3306808594053034,0.9945127875193235,0.0010799513245999663
6,high,2,burst,generic_voi,4,0.2758988701181193,0.027436500061195346,0.057439148828717666,0.011779338995543667,0.7733664185277088,0.17715860125094895,0.9942204101596439,0.0012932958956573773
6,high,2,burst,oracle,4,0.2859545516055634,0.028973413613104418,0.018055544729104533,0.0018153828827628042,0.22332506203473945,0.00935985548065894,0.9925426215688019,0.002488400369618859
6,high,2,burst,v8_no_constraint_bonus,4,0.29133877951238096,0.03145919955823526,0.01841098565632364,0.0019716963997744525,0.22332506203473945,0.00935985548065894,0.9911567284055494,0.0017487158306264152
6,high,2,burst,v8_no_mode,4,0.29117064462370595,0.030595866089616865,0.018408867098666366,0.0019673268387844422,0.22332506203473945,0.00935985548065894,0.9913529599705189,0.001759697206674054
6,high,2,burst,v8_no_reliability,4,0.31021504688439144,0.03374882137011984,0.0185790730832074,0.001837810666721605,0.22125723738626965,0.007760782180324324,0.9989178547407271,0.0009688704211261779
6,high,2,burst,v8_no_rmse_cost,4,0.32753182955305066,0.032927338087708355,0.0190000656281701,0.0019573171436106963,0.22125723738626965,0.007760782180324324,0.9993967181150879,0.000420320745289229
6,high,2,severe_burst,b2croi_v8,4,0.498377329157908,0.01830395332452086,0.0471850654787093,0.0062559322163791556,0.5479735318444996,0.045070887155390184,0.9992150266256503,0.000808269791400751
6,high,2,severe_burst,cvoi_sf,4,0.5256457819033428,0.015310411695127722,0.1073051997169992,0.015311541286181141,1.348221670802316,0.21980719365452966,0.9938532312548332,0.0028305727426413086
