network,proposed,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,rmse_mean_win_pct,loss_mean_delta_mean,loss_mean_delta_ci95,loss_mean_win_pct,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,missed_violation_pct_win_pct,choice_fairness_delta_mean,choice_fairness_delta_ci95,choice_fairness_win_pct,avg_aoi_delta_mean,avg_aoi_delta_ci95,avg_aoi_win_pct
burst,b2croi_v8,error_trigger,21,0.026274720296817856,0.0056474900683896045,0.0,-0.02866805013982433,0.003817207776074541,100.0,-0.4119894442475088,0.06163732148714177,100.0,0.4006856522466847,0.01546121731365047,100.0,-16.13624010398204,2.7942377324922667,100.0
burst,b2croi_v8,generic_voi,21,0.01490048861588188,0.006206840021939858,4.761904761904762,-0.029183529284335735,0.0035103663749592273,100.0,-0.41120170152428204,0.05920900355013325,100.0,0.35729577011996505,0.017382409714405977,100.0,-15.730655008074367,2.7887065371181805,100.0
burst,b2croi_v8,cvoi_sf,21,0.007387376725296097,0.006845908830900527,33.33333333333333,-0.02478595553192327,0.004099857330553033,100.0,-0.32218677379967703,0.05972811819672143,100.0,0.0027306381405363387,0.0008188084561479672,100.0,0.19636062861869316,0.011483374949184387,0.0
burst,b2croi_v8,v8_no_mode,21,0.0015412964613608611,0.004685941711432899,42.857142857142854,0.0016417050691244237,0.001221155773157374,19.047619047619047,0.019693568080664862,0.02045986327686214,14.285714285714285,0.3781065943684423,0.018657090522882818,100.0,-16.11075662688566,2.7988338324347835,100.0
burst,b2croi_v8,v8_no_constraint_bonus,21,0.0017032911509208219,0.004741539987029199,42.857142857142854,0.0016338276418921575,0.00122127625055407,19.047619047619047,0.019693568080664862,0.02045986327686214,14.285714285714285,0.3781065943684423,0.018657090522882818,100.0,-16.109961006735197,2.7986039751040246,100.0
burst,b2croi_v8,v8_no_rmse_cost,21,-0.003230261533425908,0.001239173818445664,90.47619047619048,0.0012061079601402179,0.0006829258600392574,14.285714285714285,0.01654259718775848,0.013046366581301856,0.0,3.2360815163006998e-06,5.535869262307955e-06,9.523809523809524,-0.0020953956437827622,0.001563537506922611,66.66666666666666
burst,b2croi_v8,v8_no_reliability,21,-0.0020126937330554014,0.001185960390123818,71.42857142857143,0.001119456260585293,0.0007975489589771864,9.523809523809524,0.017330339910985065,0.01492154900441303,4.761904761904762,2.813878700623826e-06,5.515202253222698e-06,4.761904761904762,-0.0015518531647564042,0.0018556507349284904,71.42857142857143
burst,b2croi_v8,oracle,21,-0.002972493934670071,0.004953523985225455,57.14285714285714,0.0016696453188388687,0.0010438950600971703,14.285714285714285,0.020481310803891453,0.019493266936131265,14.285714285714285,0.3975209927011275,0.01654019340338793,100.0,-16.144188428059397,2.8015182108589745,100.0
severe_burst,b2croi_v8,error_trigger,21,0.015089042263213111,0.005522328274748041,9.523809523809524,-0.028293256922289182,0.0047307100075443835,100.0,-0.4119894442475088,0.08199223515825099,100.0,0.3772553625030314,0.017090668560692964,100.0,-15.842215132537712,2.7823562402912367,100.0
severe_burst,b2croi_v8,generic_voi,21,0.0057808997365592215,0.006552229187454047,23.809523809523807,-0.027368643900901962,0.004605337211816296,100.0,-0.3789042498719918,0.07155956946340222,100.0,0.3256759827093682,0.021631858362443253,100.0,-15.41682618456812,2.7551781781598503,100.0
severe_burst,b2croi_v8,cvoi_sf,21,0.0009065674824718281,0.006422071543424172,42.857142857142854,-0.026773775060065386,0.003831162664907109,100.0,-0.35684745362164716,0.061338796365001266,100.0,0.004286586521672242,0.0015589143550895585,100.0,0.2634605537831345,0.02264234496900552,0.0
severe_burst,b2croi_v8,v8_no_mode,21,-0.0012495003956614651,0.005071223010750756,57.14285714285714,0.002830088817992045,0.0017386675890331273,23.809523809523807,0.03150970892906378,0.029250089588185375,14.285714285714285,0.351940626933124,0.02133184009938115,100.0,-15.836811217456377,2.7879455699000215,100.0
severe_burst,b2croi_v8,v8_no_constraint_bonus,21,-0.00010041162336731675,0.005110432713539319,47.61904761904761,0.0022316505179408386,0.0016850979520158346,23.809523809523807,0.027570995312930807,0.027341887902641405,9.523809523809524,0.3517669731432304,0.021351675421889062,100.0,-15.821221788963726,2.7865991054580967,100.0
severe_burst,b2croi_v8,v8_no_rmse_cost,21,-0.005168057647214117,0.0027184868492928335,76.19047619047619,-0.00021638307928630328,0.0020569864552290574,33.33333333333333,-0.003938713616132971,0.03551144196305486,14.285714285714285,-3.3772357324099577e-06,5.992684138782744e-06,9.523809523809524,0.0035290874000551077,0.007205658841527222,38.095238095238095
severe_burst,b2croi_v8,v8_no_reliability,21,-0.0006934855193075536,0.003381952562573999,52.38095238095239,0.0019219691598723863,0.0009166468049016727,14.285714285714285,0.02205679625034465,0.01835968290679693,14.285714285714285,4.854466011177963e-06,6.4507085876547936e-06,28.57142857142857,-0.009334751270235139,0.007365866331736204,76.19047619047619
severe_burst,b2croi_v8,oracle,21,-0.005321381193176235,0.005009479982462413,66.66666666666666,0.002799563787467014,0.0017896053551874082,23.809523809523807,0.03150970892906378,0.03034216782545364,14.285714285714285,0.37227137586921777,0.018419796161022954,100.0,-15.83096616645004,2.7789010728847354,100.0
