variable_set,policy,n_cases,loss_better,missed_better,fair_better,rmse_le_0p05,loss_delta_avg,missed_delta_avg,rmse_delta_avg,fairness_delta_avg
humidity_inside,b2croi_v8q,80,80,74,80,77,-0.009120659972202917,-0.13174658327542274,0.0076945438740901985,0.02878888327222472
humidity_inside,cvoi_sf,80,13,17,80,1,0.0049541084086170955,0.04545981005327774,0.1128656063991114,0.033709702526277294
humidity_inside,generic_voi,80,32,19,80,80,0.0006386160296502199,0.007817929117442671,-7.559375116023004e-06,0.016860261028945462
temperature_inside,b2croi_v8q,80,80,79,80,80,-0.011592844206045864,-0.15693768820940468,0.004391403963037143,0.10325507372981384
temperature_inside,cvoi_sf,80,12,14,80,74,0.00667232554435951,0.07296733842946491,0.027788053253749345,0.10245963710759295
temperature_inside,generic_voi,80,43,38,80,80,6.073054204308588e-05,0.0005791058605513087,-1.0127602009118997e-05,0.023226451305753543
