policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,dataset,variable_set,safe_min,safe_max,window
oracle,burst,0,2880,1439,0.22461395691193017,0.004990925411165161,0.0463284688441047,0.13898540653231412,3.207551540421589,36.0,0.9219270559940234,85.33703961084086,50.829598163024805,1.2,0.05,0.14084844488362977,0.0,0.0,64.2222222222207,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,0,2880,1439,0.22446168404060676,0.026881097984711604,0.3706277507528376,0.3011350474866806,3.211026175584897,36.0,0.9229156833460135,85.33703961084086,3.7047374929489774,1.2,0.05090000000000367,0.14084844488362977,0.5513333333333708,0.0,63.88888888888733,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,0,2880,1439,0.21915171838179914,0.020968178132962707,0.27797081306462823,0.27797081306462823,2.917535325457494,36.0,0.9362555132804782,85.33703961084086,7.383328581926535,1.2,0.05,0.14084844488362977,0.0,0.0,58.55555555555451,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,0,2880,1439,0.2432952242601586,0.030036269400046334,0.39379198517488995,0.4169562195969423,1.462821403752606,12.0,0.9995588025882938,85.33703961084086,20.695596590671816,0.05,0.06200000000000369,0.14084844488362977,0.8066666666666613,0.0,7.000000000000007,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,0,2880,1439,0.2198273353271031,0.006375590687977761,0.06949270326615706,0.13898540653231412,2.0488765346305304,25.0,0.9999874441445527,85.33703961084086,243.46537070796722,0.09976136456345237,0.05,0.14084844488362977,0.0,0.0,23.999999999999975,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,0,4320,1439,0.23426018343028077,0.0032644197359277265,0.0463284688441047,0.02316423442205235,3.7882788973824417,40.0,0.8680292076059832,85.33703961084086,50.09962142916957,1.2,0.05,0.14084844488362977,0.0,0.0,86.77777777777838,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,0,4320,1439,0.23397493874188516,0.013341191799861016,0.16214964095436646,0.23164234422052352,3.8492008339124393,40.0,0.8704901086640779,85.33703961084086,3.5470134198090904,1.2,0.07190000000000119,0.14084844488362977,0.6379999999999986,0.0,85.77777777777844,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,0,4320,1439,0.23434615856721,0.010561761640027797,0.11582117211026176,0.23164234422052352,3.5126245077600187,40.0,0.8911006597443216,85.33703961084086,7.483945155349289,1.2,0.05,0.14084844488362977,0.0,0.0,78.11111111111019,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,0,4320,1439,0.2541790656378219,0.016842819087329163,0.23164234422052352,0.1853138753764188,1.4644429001621497,12.0,0.9999932391155797,85.33703961084086,20.605654468989,0.05,0.05,0.14084844488362977,0.0,0.0,7.111111111111135,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,0,4320,1439,0.22956931582983575,0.0049963342599027094,0.0463284688441047,0.13898540653231412,2.0113504748668056,22.0,0.9999990341537714,85.33703961084086,245.45566687558448,0.08645176720354501,0.05,0.14084844488362977,0.0,0.0,16.111111111111132,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,1,2880,1439,0.20845856151292552,0.005320963632151957,0.0463284688441047,0.16214964095436646,3.07968496641186,36.0,0.9092218760771296,86.30993745656707,50.19518942847237,1.2,0.05,0.13496027609997352,0.0,0.0,70.99999999999845,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,1,2880,1439,0.20422945122748615,0.016782922168172343,0.20847810979847115,0.27797081306462823,3.072504053741024,36.0,0.9048522960607185,86.30993745656707,3.486253561282464,1.2,0.05,0.13496027609997352,0.0,0.0,72.66666666666531,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,1,2880,1439,0.20380815262567928,0.020605258281213807,0.2548065786425759,0.34746351633078526,2.8461894834375725,36.0,0.9267321955950346,86.30993745656707,7.748093623978612,1.2,0.06260000000000163,0.13496027609997352,0.4853333333333314,0.0,63.66666666666552,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,1,2880,1439,0.2362632141335401,0.026899247162381287,0.3242992819087329,0.4864489228630994,1.4276117674310864,10.0,0.9997904550842405,86.30993745656707,22.846866954672016,0.05,0.06260000000000163,0.13496027609997352,0.4853333333333314,0.0,7.666666666666683,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,1,2880,1439,0.207225879574141,0.005319817002548067,0.0463284688441047,0.16214964095436646,1.9402362751911049,17.0,0.9999729570108226,86.30993745656707,252.3291050851257,0.16049006332327595,0.05,0.13496027609997352,0.0,0.0,24.11111111111103,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,1,4320,1439,0.2330261827896182,0.0008324762566597174,0.0,0.0463284688441047,3.631688672689368,39.0,0.8872770635613355,86.30993745656707,52.44872539418752,1.2,0.05,0.13496027609997352,0.0,0.0,79.11111111111097,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,1,4320,1439,0.22760992426208548,0.011944365299976835,0.16214964095436646,0.13898540653231412,3.633541811443132,39.0,0.8861857509007488,86.30993745656707,3.6897755352892836,1.2,0.058400000000001076,0.13496027609997352,0.33466666666666534,0.0,79.44444444444458,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,1,4320,1439,0.2299733832566265,0.005344481121148946,0.0463284688441047,0.16214964095436646,3.499189251795228,39.0,0.9029725360812514,86.30993745656707,7.56258637494847,1.2,0.05,0.13496027609997352,0.0,0.0,72.77777777777669,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,1,4320,1439,0.2563422111762807,0.012674362983553391,0.16214964095436646,0.1853138753764188,1.428306694463748,10.0,0.9994603827807084,86.30993745656707,20.73308551985618,0.05,0.05,0.13496027609997352,0.0,0.0,8.999999999999824,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,1,4320,1439,0.230342593746385,0.0008275770210794534,0.0,0.0463284688441047,2.0905721565902247,22.0,0.9999990341537714,86.30993745656707,244.30392212295922,0.2913080615885612,0.05,0.13496027609997352,0.0,0.0,16.77777777777794,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,2,2880,1439,0.22959452360730961,0.007429378040305767,0.0926569376882094,0.11582117211026176,3.1989807736854297,36.0,0.9088268146616896,86.72689367616401,50.310887691782966,1.2,0.05,0.13125547437446117,0.0,0.0,69.55555555555439,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,2,2880,1439,0.22559657680645703,0.026883663423673845,0.3706277507528376,0.3011350474866806,3.1776696780171414,36.0,0.9090087396877699,86.72689367616401,3.4222853239923405,1.2,0.061700000000001594,0.13125547437446117,0.4733333333333387,0.0,69.88888888888765,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,2,2880,1439,0.2259568477514459,0.022367315265230482,0.3242992819087329,0.1853138753764188,2.939309705814223,36.0,0.9342482168614145,86.72689367616401,7.087613520347737,1.2,0.05,0.13125547437446117,0.13399999999999812,0.0,59.88888888888858,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,2,2880,1439,0.24350525641177143,0.026907574704656007,0.3011350474866806,0.5791058605513087,1.4266851980542044,11.0,0.99966882413741,86.72689367616401,20.455669951796676,0.05,0.06770000000000101,0.13125547437446117,0.5206666666666655,0.0,8.111111111111132,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,2,2880,1439,0.22835597546258948,0.01368387769284225,0.1853138753764188,0.16214964095436646,2.0196895992587445,30.0,0.9998715588267816,86.72689367616401,242.73227227986368,0.15588659344819555,0.05,0.13125547437446117,0.0,0.0,26.222222222222086,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,2,4320,1439,0.2673358179289081,0.0008736622654621265,0.0,0.0463284688441047,3.729210099606208,41.0,0.8634771668962216,86.72689367616401,50.315209984769005,1.2,0.05,0.13125547437446117,0.0,0.0,88.11111111111269,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,2,4320,1439,0.2576403153660775,0.01441274032893213,0.1853138753764188,0.20847810979847115,3.7449617790132037,41.0,0.866891058850618,86.72689367616401,3.353218920787769,1.2,0.05,0.13125547437446117,0.0,0.0,86.77777777777935,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,2,4320,1439,0.2644861255157317,0.023455820013898537,0.3242992819087329,0.2548065786425759,3.4581885568681954,41.0,0.9019318577290643,86.72689367616401,7.26675412949638,1.2,0.05,0.13125547437446117,0.0,0.0,73.77777777777672,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,2,4320,1439,0.2854446673083067,0.013061825341672457,0.1853138753764188,0.11582117211026176,1.4290016214964096,11.0,0.9993446195825545,86.72689367616401,20.63219930621963,0.05,0.05,0.13125547437446117,0.0,0.0,9.33333333333316,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,2,4320,1439,0.2697486816130507,0.0008770384526291405,0.0,0.0463284688441047,2.005327773917072,18.0,0.9999874441445527,86.72689367616401,241.70726789303947,0.05,0.05,0.13125547437446117,0.0,0.0,16.22222222222217,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,3,2880,1439,0.18395418597174848,0.0028644429001621497,0.0463284688441047,0.0,3.1737317581653928,34.0,0.9070067940501799,85.96247394023628,49.79580356995106,1.2,0.05,0.13404905996229333,0.0,0.0,71.44444444444281,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,3,2880,1439,0.1804242185226198,0.021276795228167708,0.3242992819087329,0.11582117211026176,3.157053509381515,34.0,0.9065874576361718,85.96247394023628,3.4337017919461785,1.2,0.09170000000000161,0.13404905996229333,1.133999999999998,0.0,71.77777777777614,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,3,2880,1439,0.18203434393302234,0.022667975445911513,0.34746351633078526,0.11582117211026176,2.8681955061385223,34.0,0.9251398060742204,85.96247394023628,7.104648504007538,1.2,0.09170000000000164,0.13404905996229333,1.4673333333333411,0.0,63.55555555555435,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,3,2880,1439,0.2090066135413756,0.028255762103312487,0.3706277507528376,0.39379198517488995,1.3930970581422284,8.0,0.999217311033936,85.96247394023628,20.51579300475988,0.05,0.09170000000000164,0.13404905996229333,1.4673333333333407,0.0,8.888888888888838,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,3,2880,1439,0.18246058527534537,0.004252953439888811,0.06949270326615706,0.0,1.9921241602965023,27.0,0.9999932391155797,85.96247394023628,243.9732869547909,0.06388838628295508,0.05480000000000053,0.13404905996229333,0.19599999999999929,0.0,22.55555555555566,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,3,4320,1439,0.22696069733847016,0.0018675584896919158,0.0,0.11582117211026176,3.6594857539958303,39.0,0.8782454609034805,85.96247394023628,50.35913249871243,1.2,0.05,0.13404905996229333,0.0,0.0,81.77777777777874,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,3,4320,1439,0.22226614518125073,0.010896148946027332,0.11582117211026176,0.2548065786425759,3.614315496872828,39.0,0.881980178115,85.96247394023628,3.422042502179649,1.2,0.05,0.13404905996229333,0.0,0.0,80.44444444444531,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,3,4320,1439,0.2198573964707353,0.009155484132499421,0.0926569376882094,0.23164234422052352,3.426685198054204,39.0,0.8970626013988438,85.96247394023628,7.132331040106025,1.2,0.05,0.13404905996229333,0.0,0.0,75.11111111111047,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,3,4320,1439,0.2457660064181042,0.013356584433634468,0.13898540653231412,0.3242992819087329,1.3958767662728746,9.0,0.9991970603917708,85.96247394023628,20.55700912539633,0.05,0.05,0.13404905996229333,0.0,0.0,10.22222222222201,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,3,4320,1439,0.2240395536589941,0.0018633252258512855,0.0,0.11582117211026176,1.915450544359509,16.0,0.9999758544039877,85.96247394023628,247.58121054561303,0.05,0.05,0.13404905996229333,0.0,0.0,16.000000000000032,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,4,2880,1439,0.24069810595509053,0.006052200602270095,0.0926569376882094,0.02316423442205235,3.162381283298587,36.0,0.9002285436547943,86.30993745656707,50.135373957895254,1.2,0.05,0.13615241775239492,0.0,0.0,74.55555555555395,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,4,2880,1439,0.23690952391129672,0.015081688672689369,0.23164234422052352,0.06949270326615706,3.1582117211026177,36.0,0.8993277368588604,86.30993745656707,3.5416947605244977,1.2,0.05,0.13615241775239492,0.0,0.0,74.55555555555425,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,4,2880,1439,0.23934413496214643,0.024466707204076905,0.34746351633078526,0.23164234422052352,2.919388464211258,36.0,0.9210462288727962,86.30993745656707,7.692550814142963,1.2,0.07670000000000163,0.13615241775239492,0.8006666666666646,0.0,64.88888888888776,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,4,2880,1439,0.2792723981097037,0.026603387769284226,0.34746351633078526,0.3706277507528376,1.441510308084318,13.0,0.9998802492939296,86.30993745656707,20.42622464178926,0.05,0.06170000000000161,0.13615241775239492,0.4673333333333314,0.0,7.11111111111114,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,4,2880,1439,0.24152646516931306,0.007443073893907807,0.11582117211026176,0.02316423442205235,1.9622422978920546,17.0,0.9999729570108226,86.30993745656707,244.34275011149515,0.10050255882765993,0.05,0.13615241775239492,0.0,0.0,24.666666666666586,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,4,4320,1439,0.21909333081796176,0.0008172978920546675,0.0,0.0463284688441047,3.6726893676164,40.0,0.88305663198358,86.30993745656707,50.575001373346,1.2,0.05,0.13615241775239492,0.0,0.0,81.11111111111175,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,4,4320,1439,0.22128927073405366,0.00950490502663887,0.13898540653231412,0.06949270326615706,3.6529997683576556,40.0,0.8815318669239673,86.30993745656707,3.4726844615768315,1.2,0.05,0.13615241775239492,0.0013333333333321474,0.0,82.11111111111101,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,4,4320,1439,0.21758085806547336,0.008459451007644196,0.11582117211026176,0.0926569376882094,3.500810748204772,40.0,0.9063731740422818,86.30993745656707,7.489574956626757,1.2,0.05,0.13615241775239492,0.0013333333333321474,0.0,72.44444444444287,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,4,4320,1439,0.25158179578495143,0.01718652999768358,0.23164234422052352,0.20847810979847115,1.4401204540189947,12.0,0.9993041087983908,86.30993745656707,20.56207331324603,0.05,0.07190000000000119,0.13615241775239492,0.6379999999999986,0.0,9.333333333333131,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,4,4320,1439,0.2195023734877034,0.002553173500115821,0.02316423442205235,0.06949270326615706,2.0857076673615937,29.0,0.9999758544039877,86.30993745656707,248.30893514052684,0.05,0.05,0.13615241775239492,0.0,0.0,17.333333333333318,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,5,2880,1439,0.1930667151089638,0.003915612694000464,0.0463284688441047,0.06949270326615706,3.1058605513087794,37.0,0.9251199668323707,87.07435719249479,52.61642740919016,1.2,0.05,0.1256463332467856,0.0,0.0,62.8888888888875,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,5,2880,1439,0.19036362852451175,0.01954878966875145,0.27797081306462823,0.1853138753764188,3.0949733611304144,37.0,0.9208692825368364,87.07435719249479,3.5269450039691486,1.2,0.05,0.1256463332467856,0.13399999999999812,0.0,64.88888888888755,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,5,2880,1439,0.18892477839848446,0.021632070882557333,0.3011350474866806,0.23164234422052352,2.9346768589298122,36.0,0.9366391969600131,87.07435719249479,7.196391746272346,1.2,0.07670000000000164,0.1256463332467856,0.8006666666666646,0.0,58.222222222221156,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,5,2880,1439,0.2113133474546712,0.024436906416492935,0.27797081306462823,0.5096131572851518,1.3697011813759554,9.0,0.9993446195825545,87.07435719249479,20.584811515073195,0.05,0.05,0.1256463332467856,0.0,0.0,7.222222222222226,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,5,2880,1439,0.19128916670495577,0.0053035962473940235,0.06949270326615706,0.06949270326615706,1.9559879545981005,25.0,0.9999584702968456,87.07435719249479,242.97710664569036,0.07520634797525896,0.05,0.1256463332467856,0.0,0.0,22.444444444444443,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,5,4320,1439,0.23153977503310927,0.001871919156821867,0.02316423442205235,0.02316423442205235,3.7268936761640026,41.0,0.8721663935251347,87.07435719249479,50.43341040894741,1.2,0.05,0.1256463332467856,0.0,0.0,84.77777777777942,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,5,4320,1439,0.23142337419527537,0.011253399351401436,0.13898540653231412,0.1853138753764188,3.659717396340051,41.0,0.8695360603743414,87.07435719249479,3.4200175713211856,1.2,0.05,0.1256463332467856,0.0,0.0,85.77777777777943,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,5,4320,1439,0.22959232991786127,0.008818948343757238,0.0926569376882094,0.20847810979847115,3.4449849432476256,40.0,0.8950455514651375,87.07435719249479,7.086028443627407,1.2,0.05,0.1256463332467856,0.0,0.0,76.4444444444435,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,5,4320,1439,0.24984446262898252,0.014403630993745656,0.16214964095436646,0.3011350474866806,1.3722492471623813,11.0,0.9995761728017826,87.07435719249479,20.481320599623444,0.05,0.05,0.1256463332467856,0.0,0.0,7.3333333333332495,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,5,4320,1439,0.23611880564925558,0.0018768531387537638,0.02316423442205235,0.02316423442205235,1.9286541579800787,20.0,0.9999990341537714,87.07435719249479,241.16008068888584,0.05494312331089779,0.05,0.1256463332467856,0.0,0.0,15.66666666666662,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,6,2880,1439,0.19064474620569724,0.0021758223303219824,0.02316423442205235,0.0463284688441047,3.157053509381515,53.0,0.9150679543862673,87.83877692842252,50.770222951086595,1.2,0.05,0.11645149084766558,0.0,0.0,67.88888888888728,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,6,2880,1439,0.18963568278572096,0.019895865184155665,0.27797081306462823,0.20847810979847115,3.1542738012508686,53.0,0.9145538773961691,87.83877692842252,3.640948206799841,1.2,0.05,0.11645149084766558,0.0,0.0,68.2222222222206,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,6,2880,1439,0.1881943871939307,0.024063794301598333,0.34746351633078526,0.20847810979847115,2.753532545749363,36.0,0.9265232084841765,87.83877692842252,7.698182031173127,1.2,0.06170000000000162,0.11645149084766558,0.4673333333333314,0.0,63.222222222221006,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,6,2880,1439,0.21140315606212848,0.01679409891128098,0.16214964095436646,0.46328468844104703,1.378735232800556,17.0,0.9991536689224236,87.83877692842252,21.606299819397567,0.05,0.05,0.11645149084766558,0.0,0.0,10.111111111110938,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
b2croi_hq,burst,6,2880,1439,0.18911418853441506,0.002174276117674311,0.02316423442205235,0.0463284688441047,1.915450544359509,17.0,0.999981649240689,87.83877692842252,254.4589673267332,0.09681600008267524,0.05,0.11645149084766558,0.0,0.0,24.777777777777644,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
oracle,burst,6,4320,1439,0.20450149231071876,0.00045250752837618715,0.0,0.02316423442205235,3.751911049339819,40.0,0.8682039006936085,87.83877692842252,51.63317619867576,1.2,0.05,0.11645149084766558,0.0,0.0,86.77777777777844,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
error_trigger,burst,6,4320,1439,0.20038406537996947,0.006007725272179753,0.0463284688441047,0.20847810979847115,3.7356960852443826,40.0,0.8682039006936085,87.83877692842252,3.5749427418278232,1.2,0.05,0.11645149084766558,0.0,0.0,86.77777777777844,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
generic_voi,burst,6,4320,1439,0.20316045457332385,0.003925584896919156,0.02316423442205235,0.16214964095436646,3.483205930044012,40.0,0.8964660797074815,87.83877692842252,7.311368056607275,1.2,0.05,0.11645149084766558,0.0,0.0,76.33333333333225,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
cvoi_sf,burst,6,4320,1439,0.23639661316947694,0.011261993282372016,0.13898540653231412,0.1853138753764188,1.3789668751447766,17.0,0.9997093644979561,87.83877692842252,20.521897204541304,0.05,0.05,0.11645149084766558,0.0013333333333321474,0.0,9.111111111111187,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
b2croi_hq,burst,6,4320,1439,0.2066372504280901,0.0004543490850127403,0.0,0.02316423442205235,1.9768357655779476,21.0,0.9999874441445527,87.83877692842252,250.60357408801286,0.0958040823420501,0.05,0.11645149084766558,0.0,0.0,18.444444444444766,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,1
oracle,burst,7,2880,1439,0.20306899958572275,0.004967795923094741,0.06949270326615706,0.0463284688441047,3.177438035672921,36.0,0.9067065478637857,87.49131341209173,50.72912692672898,1.2,0.05,0.12236404278378782,0.0,0.0,71.55555555555382,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
error_trigger,burst,7,2880,1439,0.20124479567278922,0.021991695621959694,0.3011350474866806,0.2548065786425759,3.190873291637711,36.0,0.9070687743635099,87.49131341209173,3.539955852161045,1.2,0.05,0.12236404278378782,0.15199999999999814,0.0,71.22222222222051,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
generic_voi,burst,7,2880,1439,0.20210498309611538,0.019907823720176045,0.27797081306462823,0.20847810979847115,2.917535325457494,35.0,0.9173909094735256,87.49131341209173,8.246295865692451,1.2,0.06170000000000154,0.12236404278378782,0.4673333333333314,0.0,67.22222222222067,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
cvoi_sf,burst,7,2880,1439,0.2284376222038452,0.026540282603659947,0.3706277507528376,0.27797081306462823,1.4023627519110493,10.0,0.9997383239115457,87.49131341209173,20.70622052026549,0.05,0.07670000000000156,0.12236404278378782,0.8006666666666646,0.0,7.000000000000102,mendeley_3dw54yhhcc,temperature_inside,12.0,32.0,0
