window,t,loop,p_gaussian,p_empirical,true_violation,mu,xt,age
0,2017,0,0.009077546516907231,0.004962779156327543,0.0,26.025597163853675,25.0,0
0,2017,1,0.034755443899518346,0.009429280397022333,0.0,25.03193421370126,25.0,0
0,2017,2,0.10306834803454495,0.010918114143920596,0.0,24.027954966384005,24.0,0
0,2018,0,0.02376374359440636,0.005955334987593052,0.0,25.054856748645186,25.0,0
0,2018,1,0.052954922882670674,0.009429280397022333,0.0,25.039746552877144,24.0,1
0,2018,2,0.12759329147059267,0.010918114143920596,0.0,24.034797290116114,24.0,1
0,2019,0,0.03810960117718504,0.005955334987593052,0.0,25.06831828276192,24.0,1
0,2019,1,0.10602950039221115,0.01240694789081886,0.0,24.06595388266939,24.0,0
0,2019,2,0.14834730052288753,0.010918114143920596,0.0,24.04158203039046,23.0,2
0,2020,0,0.08703245821533567,0.010918114143920596,0.0,24.08411633343669,24.0,0
0,2020,1,0.1297814502648803,0.01240694789081886,0.0,24.082088743737213,24.0,1
0,2020,2,0.16632678540661827,0.010918114143920596,0.0,24.04830967181648,23.0,3
0,2021,0,0.1091329482103694,0.010918114143920596,0.0,24.10475800324575,24.0,1
0,2021,1,0.14980268953190562,0.01240694789081886,0.0,24.098084592932697,24.0,2
0,2021,2,0.25404063134544375,0.029280397022332507,0.0,23.061195494382186,23.0,0
0,2022,0,0.08703245821533567,0.010918114143920596,0.0,24.08411633343669,24.0,0
0,2022,1,0.16716647870092083,0.01240694789081886,0.0,24.113942627929656,24.0,3
0,2022,2,0.27335887587793917,0.025806451612903226,0.0,23.076173848416225,23.0,1
0,2023,0,0.08703245821533567,0.010918114143920596,0.0,24.08411633343669,24.0,0
0,2023,1,0.18259911370047538,0.01240694789081886,0.0,24.129664036083206,23.0,4
0,2023,2,0.28785237421258514,0.02481389578163772,0.0,23.091026147991194,22.0,2
0,2024,0,0.1091329482103694,0.010918114143920596,0.0,24.10475800324575,23.0,1
0,2024,1,0.253066915826509,0.02481389578163772,0.0,23.09997355163753,23.0,0
0,2024,2,0.2992944578330289,0.02481389578163772,0.0,23.10575345395307,22.0,3
0,2025,0,0.23382053486138044,0.0228287841191067,0.0,23.113375918228197,23.0,0
0,2025,1,0.27084493373641466,0.02481389578163772,0.0,23.12443093459729,23.0,1
0,2025,2,0.30872203400579856,0.02481389578163772,0.0,23.120356818219996,22.0,4
0,2026,0,0.2519891860524016,0.0228287841191067,0.0,23.141197723729586,23.0,1
0,2026,1,0.28405412430857785,0.02481389578163772,0.0,23.14867760197769,23.0,2
0,2026,2,0.4765169498679567,0.11811414392059554,0.0,22.094436022380364,22.0,0
0,2027,0,0.23382053486138044,0.0228287841191067,0.0,23.113375918228197,23.0,0
0,2027,1,0.2944375093273328,0.02481389578163772,0.0,23.172715369224623,23.0,3
0,2027,2,0.47375422621580626,0.11811414392059554,0.0,22.117550406716333,22.0,1
0,2028,0,0.23382053486138044,0.0228287841191067,0.0,23.113375918228197,23.0,0
0,2028,1,0.3030044076588988,0.02481389578163772,0.0,23.19654603614278,23.0,4
0,2028,2,0.4712759716950289,0.11811414392059554,0.0,22.140470265591922,22.0,2
0,2029,0,0.23382053486138044,0.0228287841191067,0.0,23.113375918228197,22.0,0
0,2029,1,0.3103690442028793,0.02481389578163772,0.0,23.220171387030422,22.0,5
0,2029,2,0.46904239304424566,0.11811414392059554,0.0,22.163197236089662,22.0,3
0,2030,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2030,1,0.3169158880884782,0.02481389578163772,0.0,23.243593190812962,22.0,6
0,2030,2,0.46704250681411924,0.11811414392059554,0.0,22.185732941514757,22.0,4
0,2031,0,0.45857416799021566,0.10471464019851116,0.0,22.17763744421342,22.0,1
0,2031,1,0.46772322354703166,0.12009925558312655,0.0,22.133993220605667,22.0,0
0,2031,2,0.46527734816257366,0.11811414392059554,1.0,22.208078991511048,21.0,5
0,2032,0,0.45464988640605264,0.10471464019851116,0.0,22.212380491594406,22.0,2
0,2032,1,0.4639337528956188,0.12009925558312655,0.0,22.166773125457365,22.0,1
0,2032,2,0.7067982515853065,0.8635235732009926,1.0,21.127676550378542,21.0,0
0,2033,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2033,1,0.46054357360691284,0.12009925558312655,0.0,22.199270611022683,22.0,2
0,2033,2,0.6812323207675826,0.8635235732009926,1.0,21.158926965016445,21.0,1
0,2034,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2034,1,0.4575017830009276,0.12009925558312655,0.0,22.23148811051959,22.0,3
0,2034,2,0.6612896328320234,0.8635235732009926,1.0,21.189914383192654,21.0,2
0,2035,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2035,1,0.4547936168820698,0.12009925558312655,0.0,22.263428036202356,22.0,4
0,2035,2,0.64508698608745,0.8635235732009926,1.0,21.220641018226253,21.0,3
0,2036,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2036,1,0.45241710766602833,0.12009925558312655,0.0,22.29509277954219,22.0,5
0,2036,2,0.6315343310481438,0.8635235732009926,1.0,21.251109064809516,21.0,4
0,2037,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2037,1,0.4503706842608109,0.12009925558312655,0.0,22.32648471140628,22.0,6
0,2037,2,0.61995565181731,0.8635235732009926,1.0,21.28132069916469,21.0,5
0,2038,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2038,1,0.44864807209582735,0.12009925558312655,0.0,22.35760618223532,22.0,7
0,2038,2,0.6099088133658436,0.8635235732009926,1.0,21.311278079199425,21.0,6
0,2039,0,0.462931572595646,0.10471464019851116,0.0,22.142635503019704,22.0,0
0,2039,1,0.4472372838108764,0.12009925558312655,1.0,22.38845952221949,21.0,8
0,2039,2,0.6010913947699671,0.8635235732009926,1.0,21.3409833446609,21.0,7
0,2040,0,0.45857416799021566,0.10471464019851116,0.0,22.17763744421342,22.0,1
0,2040,1,0.6924909958527431,0.8640198511166253,1.0,21.168012889573806,21.0,0
0,2040,2,0.5932880297253925,0.8635235732009926,1.0,21.370438617288663,20.0,8
0,2041,0,0.45464988640605264,0.10471464019851116,0.0,22.212380491594406,22.0,2
0,2041,1,0.6661977703246612,0.8640198511166253,1.0,21.209115316317437,21.0,1
