policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f
oracle,burst,2026,2016,2015,0.803062128776932,0.09608664185277088,1.240694789081886,0.76095947063689,12.94177005789909,138.0,0.6184818331029388,86.0545905707196,131.6281275594926,1.2,0.3454999999999913,0.13520417329675818,13.328666666666585,9.187958333333205,248.55555555555134
b2croi_edge_metadata,burst,2026,2016,2015,0.8033905185211094,0.0999612282878412,1.2737799834574028,0.8933002481389578,1.8009925558312656,17.0,0.9999935964549975,86.0545905707196,506.932071916945,0.05,0.37549999999999134,0.13520417329675818,13.995333333333253,8.996041666666569,5.666666666666523
cvoi_sf,burst,2026,2016,2015,0.7960327305643338,0.12677574441687345,1.621174524400331,1.3068651778329199,1.6190239867659222,12.0,0.9984591137666357,86.0545905707196,37.26335830100241,0.05,0.7654999999999961,0.13520417329675818,20.660666666666472,9.404374999999925,15.000000000000236
error_trigger,burst,2026,2016,2015,0.7716486750915749,0.1292778122415219,1.7369727047146404,1.0421836228287842,13.016873449131513,137.0,0.6174248938916795,86.0545905707196,9.626632825114417,1.2,0.82550000000001,0.13520417329675818,22.99399999999976,8.390333333333222,248.44444444444093
b2croi_gateway_forecast,burst,2026,2016,2015,4.360617898177412,2.497645264681555,36.575682382134,0.21505376344086022,31.648800661703888,168.0,0.9659688523236806,86.0545905707196,2924.0733663637884,1.2,1.0,0.13520417329675818,724.9940000000327,592.1660000000278,89.33333333333361
oracle,burst,2027,4032,2015,0.7285917501631474,0.058077440033085195,0.5955334987593052,0.9263854425144747,11.922415219189412,142.0,0.6459254939186939,85.31017369727047,286.0900857638933,1.2,0.07400000000000011,0.14367932754275267,2.030000000000076,5.65637499999998,232.55555555555247
b2croi_edge_metadata,burst,2027,4032,2015,0.7372475592951915,0.05912169148056245,0.6120760959470637,0.9263854425144747,1.8173697270471465,15.0,0.9999995074167035,85.31017369727047,639.1386575370025,0.05,0.0890000000000001,0.14367932754275267,2.3633333333334097,5.760541666666631,4.44444444444429
cvoi_sf,burst,2027,4032,2015,0.7238492798647975,0.10422870140612076,1.174524400330852,1.7038875103391231,1.631430934656741,12.0,0.9987096206073048,85.31017369727047,24.487470419934162,0.05,0.5104999999999661,0.14367932754275267,12.065333333333081,5.150375000000006,15.666666666666693
error_trigger,burst,2027,4032,2015,0.6941677093377799,0.09126602564102564,1.0752688172043012,1.2737799834574028,11.981803143093465,142.0,0.6371340036678682,85.31017369727047,5.392259010373761,1.2,0.3904999999999747,0.14367932754275267,10.065333333333252,4.032958333333394,236.88888888888553
b2croi_gateway_forecast,burst,2027,4032,2015,4.339881047247152,2.3227047146401985,33.44913151364764,0.3308519437551696,32.913978494623656,276.0,0.7796692350159622,85.31017369727047,484.2485966071054,1.2,1.0,0.14367932754275267,662.5306666667024,614.7910000000364,215.1111111111112
