network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,false_alarm_pct_mean,false_alarm_pct_ci95,avg_aoi_mean,avg_aoi_ci95,max_aoi_mean,max_aoi_ci95,choice_fairness_mean,choice_fairness_ci95,packet_success_pct_mean,packet_success_pct_ci95,runtime_us_mean_mean,runtime_us_mean_ci95,version,family
burst,oracle,10,0.7858390996984085,0.0530366354708666,0.052944840777502,0.0132770571422986,0.56575682382134,0.199918566964238,0.6071133167907362,0.2214972439523078,12.840612076095947,1.878728095498504,154.4,15.078276588817731,0.6291177416230309,0.0139108803484558,85.50372208436724,0.9264781922138562,72.51787801890198,2.0277102652994476,fairness_constrained,baseline
burst,error_trigger,10,0.7586101968752037,0.0509672639367467,0.0872808105872622,0.013347061916282,1.0421836228287842,0.1907819291345478,1.033912324234905,0.2623098454759604,12.854011579818032,1.9021906906525503,155.0,15.291350060300974,0.62520695853835,0.0132696007548554,85.50372208436724,0.9264781922138562,5.526596598821708,0.845305290573048,fairness_constrained,baseline
burst,generic_voi,10,0.7682407811566956,0.0531090993600522,0.0875080128205128,0.0159484661465465,1.0421836228287842,0.2255705751967915,1.038875103391233,0.2657847389390603,12.418643507030602,1.8837915377482972,154.2,15.57292328227284,0.672346955786877,0.0131049455350897,85.50372208436724,0.9264781922138562,13.280450513762036,2.9298655690525788,fairness_constrained,baseline
burst,cvoi_sf,10,0.7793100474375518,0.0507070653212858,0.0838841501240694,0.0155804850614426,0.9611248966087677,0.2075244113416161,1.1066997518610422,0.3045603584356961,1.6193217535153015,0.0537391312977123,14.4,1.632026143581448,0.997955640633091,0.0005442853784456,85.50372208436724,0.9264781922138562,36.55680707741353,1.3333684563501391,fairness_constrained,baseline
burst,fairness_constrained,10,0.7776346825984503,0.0500159233038208,0.0584576612903225,0.0129560410253661,0.6435070306038048,0.1898889931859627,0.6815550041356493,0.2558877901151895,1.8986600496277917,0.0747752084465032,19.7,4.421961555689963,0.9999802972335672,8.932100716178892e-06,85.50372208436724,0.9264781922138562,312.85351041182133,8.528916196021063,fairness_constrained,candidate
burst,loss_prioritized,10,0.7886996168111399,0.0509191128055583,0.053221929280397,0.0138398220144477,0.5674110835401158,0.2042679900744416,0.6186931348221671,0.2241263600795405,1.977816377171216,0.061104635908798,20.8,5.273820626452894,0.9285616129375904,0.0070373424356495,85.50372208436724,0.9264781922138562,311.1238515081933,4.578751985908786,loss_prioritized,candidate
burst,b2croi_h,10,0.7857985159582354,0.0520538190653541,0.0558036083540115,0.0139464070838714,0.6038047973531844,0.2045651322429858,0.6484698097601322,0.2306300805290482,1.8172208436724568,0.0651190638126668,19.9,4.568197115809353,0.999997290808029,2.0818943259992075e-06,85.50372208436724,0.9264781922138562,338.6650749663626,7.010762668652151,H,candidate
severe_burst,oracle,10,0.996920440559153,0.0547476598123648,0.101690188172043,0.0223477435406216,1.1248966087675765,0.3168003448156609,1.229114971050455,0.3287090985280771,13.502084367245658,1.9307522544687024,155.0,14.56215368686926,0.6595424775628419,0.0122693079749825,71.45409429280396,1.6728007454108595,69.98058651151048,1.5744437549570829,fairness_constrained,baseline
severe_burst,error_trigger,10,0.9742899626694644,0.0493807268503249,0.1374521815550041,0.0275234959323426,1.6244830438378828,0.3919474174374057,1.660876757650951,0.3624154091374287,13.524648469809758,1.9370962874142603,155.4,14.635833286834062,0.6519908062499841,0.0114389393449972,71.45409429280396,1.6728007454108595,4.93992685060717,0.3507612194330635,fairness_constrained,baseline
severe_burst,generic_voi,10,0.977495248214281,0.0482489946192455,0.1386494520264681,0.0294566305562608,1.639371381306865,0.4134881466815747,1.6790736145574858,0.4004224500841164,13.189644334160462,1.979007497416796,155.9,16.32666797332239,0.7103120714722795,0.0160428962373524,71.45409429280396,1.6728007454108595,10.653445346941872,0.6976679632505698,fairness_constrained,baseline
severe_burst,cvoi_sf,10,0.9876161069471596,0.0485091377919196,0.1359801488833746,0.0255371109647382,1.586435070306038,0.3495610512090895,1.6939619520264682,0.3811718069369325,2.592754342431762,0.1499491132295534,25.5,3.447842481578556,0.9975705868857258,0.0013080707181232,71.45409429280396,1.6728007454108595,35.87408250119195,0.814335729485257,fairness_constrained,baseline
severe_burst,fairness_constrained,10,0.991930992018288,0.0534288569426904,0.11428711745244,0.0240390314897563,1.3035566583953682,0.3252348884340256,1.3680727874276262,0.3737712705796714,3.022117452440033,0.1633111993819945,29.8,5.0926484705351935,0.9999420277599984,2.514548690846579e-05,71.45409429280396,1.6728007454108595,317.8357403689566,8.522855010903564,fairness_constrained,candidate
severe_burst,loss_prioritized,10,0.997603968641314,0.0537652123939802,0.1023234594706369,0.0227532516254228,1.1282051282051282,0.3123369422271506,1.260545905707196,0.3502070531823093,2.940827129859388,0.1492113160179111,28.2,5.557559176473068,0.9559728910532774,0.0053233071259493,71.45409429280396,1.6728007454108595,313.60514329690903,3.0404974734468944,loss_prioritized,candidate
severe_burst,b2croi_h,10,0.9880243253710802,0.0513688363736801,0.106179693961952,0.0233155757440655,1.1894127377998347,0.3216469088818645,1.2919768403639371,0.3401789223921632,2.851149710504549,0.1647045574981884,28.3,5.3241656205978,0.9999860606389154,1.5442894420811173e-05,71.45409429280396,1.6728007454108595,337.47222888972107,2.4544928315849015,H,candidate
