policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f
oracle,burst,2029,8064,2015,0.7169997022055572,0.07016387510339123,0.9429280397022334,0.3639371381306865,9.059057071960298,133.0,0.6552445790795227,84.863523573201,49.598508100799535,1.2,0.13549999999999435,0.14563808558431268,9.137999999999725,4.672958333333132,228.99999999999795
error_trigger,burst,2030,10080,2015,0.9043295880218917,0.09514061207609595,0.8933002481389578,1.902398676592225,9.38626964433416,139.0,0.6523616190332504,88.78411910669975,3.473050736362304,1.2,0.31549999999995987,0.11097264892456167,6.473999999999676,14.599124999999713,229.77777777777544
generic_voi,burst,2030,10080,2015,0.9295351131054218,0.1050739247311828,1.0421836228287842,1.935483870967742,8.945740281224152,139.0,0.696164398170938,88.78411910669975,7.418290915305058,1.2,0.4204999999999647,0.11097264892456167,9.599999999999678,15.614749999999702,208.77777777777655
cvoi_sf,burst,2030,10080,2015,0.9138477768029715,0.09623655913978495,0.9098428453267163,1.902398676592225,1.5037220843672456,17.0,0.999166750951309,88.78411910669975,21.45295036568424,0.05,0.34549999999998043,0.11097264892456167,6.8073333333334745,14.770999999999722,12.444444444444406
b2croi_h,burst,2030,10080,2015,0.93934746680761,0.07260907775020678,0.6617038875103392,1.2737799834574028,1.6679900744416873,22.0,0.9999995074167035,88.78411910669975,224.688663852237,0.05,0.1355000000000007,0.11097264892456167,2.574666666666702,16.198083333333045,4.333333333333264
h_no_mode,burst,2030,10080,2015,0.928424440781655,0.06139629859387924,0.47973531844499584,1.2737799834574028,9.377502067824649,139.0,0.6810228732171734,88.78411910669975,295.98975097113487,1.2,0.11540000000000089,0.11097264892456167,2.2413333333333685,15.604333333333066,216.4444444444426
h_no_constraint_bonus,burst,2030,10080,2015,0.928424440781655,0.06139629859387924,0.47973531844499584,1.2737799834574028,9.377502067824649,139.0,0.6810228732171734,88.78411910669975,296.62421779711696,1.2,0.11540000000000089,0.11097264892456167,2.2413333333333685,15.604333333333066,216.4444444444426
h_no_rmse_cost,burst,2030,10080,2015,0.9416687760865908,0.06647280810587262,0.5459057071960298,1.3234077750206783,1.6722911497105046,22.0,0.9999995074167035,88.78411910669975,222.1684911283699,0.05,0.11540000000000089,0.11097264892456167,2.2413333333333685,16.333499999999713,4.3333333333332655
h_no_reliability,burst,2030,10080,2015,0.9419234419182883,0.06622983870967741,0.5459057071960298,1.3068651778329199,1.672125723738627,22.0,0.9999995074167035,88.78411910669975,227.99108005833648,0.05,0.13040000000000088,0.11097264892456167,2.574666666666702,16.343916666666377,4.333333333333264
oracle,burst,2030,10080,2015,0.9546655939752039,0.06332454507857734,0.49627791563275436,1.2737799834574028,9.414557485525227,139.0,0.6605481497461017,88.78411910669975,49.79960488100021,1.2,0.11540000000000089,0.11097264892456167,2.2413333333333685,17.489749999999667,226.111111111109
error_trigger,burst,2031,12096,2015,0.6768737111953476,0.07009408602150538,0.8933002481389578,0.6120760959470637,10.092307692307692,145.0,0.6120112151623255,85.40942928039702,3.475058452912581,1.2,0.31549999999998724,0.1411302262610667,7.590666666666518,5.577874999999956,250.4444444444401
generic_voi,burst,2031,12096,2015,0.6814332229722622,0.06378463606286187,0.7940446650124069,0.5789909015715468,9.70686517783292,141.0,0.655423547223636,85.40942928039702,7.013985702291907,1.2,0.22550000000000217,0.1411302262610667,6.25733333333317,5.67683333333329,229.1111111111085
cvoi_sf,burst,2031,12096,2015,0.6926851183311934,0.05777502067824648,0.6782464846980976,0.6286186931348222,1.5756823821339951,11.0,0.9981439484730597,85.40942928039702,20.13042551250412,0.05,0.1862000000000059,0.1411302262610667,4.590666666666691,5.718499999999957,17.555555555554957
