policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f,N,heterogeneity,bw
generic_voi,burst,5001,4032,2015,0.35331760645495436,0.05908248979201372,0.7940446650124069,0.6286186931348222,7.279239040529363,89.0,0.9854300350682008,85.75682382133995,10.592880440418314,0.5202251939810364,0.3154999999999692,0.13632133544856723,4.554000000000003,0.0,44.77777777777721,3,low,1
cvoi_sf,burst,5001,4032,2015,0.4181823557814597,0.07426152582978991,0.8933002481389578,1.1910669975186103,1.6408602150537634,17.0,0.9944899492274882,85.75682382133995,35.31445987712102,0.25009115086994593,0.4054999999999673,0.13632133544856723,6.437999999999661,0.0,26.222222222222285,3,low,1
b2croi_v8,burst,5001,4032,2015,0.3635878264136441,0.02718099036592526,0.3143093465674111,0.41356492969396197,7.557320099255583,104.0,0.9893545501573742,85.75682382133995,407.41535062524986,0.32795236570872316,0.05,0.13632133544856723,0.0,0.0,38.55555555555513,3,low,1
v8_no_mode,burst,5001,4032,2015,0.3689723817964623,0.02474622689443553,0.2812241521918941,0.380479735318445,7.898924731182795,108.0,0.984535406271725,85.75682382133995,412.16434806899605,0.5547951812435029,0.05,0.13632133544856723,0.0,0.0,43.555555555554726,3,low,1
v8_no_constraint_bonus,burst,5001,4032,2015,0.36899999206797035,0.024746595731732882,0.2812241521918941,0.380479735318445,7.899421009098428,108.0,0.9846428478755325,85.75682382133995,410.0113074126521,0.5432454220575181,0.05,0.13632133544856723,0.0,0.0,43.555555555554726,3,low,1
v8_no_rmse_cost,burst,5001,4032,2015,0.364656021348672,0.026200927003018824,0.2977667493796526,0.41356492969396197,7.592886683209264,104.0,0.9899146453169027,85.75682382133995,403.7268062309355,0.35716552176574107,0.05,0.13632133544856723,0.0,0.0,38.11111111111074,3,low,1
v8_no_reliability,burst,5001,4032,2015,0.3646123572536553,0.026192463917191638,0.2977667493796526,0.41356492969396197,7.578163771712159,104.0,0.9879174176004524,85.75682382133995,423.11540303899733,0.37242267608807433,0.05,0.13632133544856723,0.0,0.0,39.88888888888844,3,low,1
oracle,burst,5001,4032,2015,0.36698901424989033,0.024726513741984424,0.2812241521918941,0.380479735318445,7.949379652605459,108.0,0.9841302043605217,85.75682382133995,86.85972935014009,0.575360420086408,0.05,0.13632133544856723,0.0,0.0,43.33333333333241,3,low,1
error_trigger,burst,5002,6048,2015,0.30739400835223285,0.03300818888669757,0.4466501240694789,0.3143093465674111,7.754673283705542,89.0,0.9823672432068593,86.74937965260547,5.048293263302473,0.42613347391184025,0.07010000000000044,0.12842088345551136,0.6053333333333393,0.0,46.666666666666394,3,low,1
generic_voi,burst,5002,6048,2015,0.30412067942981685,0.03148993878399853,0.41356492969396197,0.34739454094292804,6.630272952853598,78.0,0.9846342516842739,86.74937965260547,10.757976865613136,0.4256462171148242,0.07010000000000044,0.12842088345551136,0.5019999999999996,0.0,44.999999999999694,3,low,1
