Model,Brier score,ECE,Mean predicted,Observed rate
Gaussian AR(1),0.078291769948408,0.1562603264122414,0.6068301936311576,0.6081472291149711
Empirical residual,0.0506159057954556,0.0237568833418508,0.5858732685175493,0.6081472291149711
