network,proposed,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,rmse_mean_win_pct,loss_mean_delta_mean,loss_mean_delta_ci95,loss_mean_win_pct,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,missed_violation_pct_win_pct,choice_fairness_delta_mean,choice_fairness_delta_ci95,choice_fairness_win_pct,avg_aoi_delta_mean,avg_aoi_delta_ci95,avg_aoi_win_pct
burst,b2croi_v8q,round_robin,10,-0.19832700685473084,0.030725747108114588,100.0,-0.0850788358147229,0.00997739584766363,100.0,-1.0984284532671629,0.1612649952425484,100.0,-2.2166086744213053e-06,2.0818943259992075e-06,0.0,0.20489660876757654,0.01494314533854689,0.0
burst,b2croi_v8q,max_aoi,10,-0.13731345156062086,0.016474030308790452,100.0,-0.07167364557485525,0.01149821987974627,100.0,-0.9131513647642681,0.1692245304706156,100.0,0.0001898270437445837,0.00010752899033965556,100.0,0.3597849462365591,0.015980571121595896,0.0
burst,b2croi_v8q,channel_aware_rr,10,-0.1575589680771265,0.031011145446934604,100.0,-0.07411316170388751,0.011808630202916543,100.0,-0.9594706368899917,0.19663123562930293,100.0,0.00019086128714629336,0.00010713202857054785,100.0,0.3597849462365591,0.015980571121595896,0.0
burst,b2croi_v8q,error_trigger,10,0.026941633489736307,0.009893210262865678,0.0,-0.03240513854425145,0.004685726310862772,100.0,-0.4532671629445823,0.08176893173637802,100.0,0.3747903322696792,0.013269926112118687,100.0,-11.037022332506202,1.8646568413864426,100.0
burst,b2croi_v8q,generic_voi,10,0.01731104920824449,0.012492622866252062,10.0,-0.03263234077750207,0.005877730905920008,100.0,-0.45326716294458225,0.09860627368864983,100.0,0.32765033502115215,0.01310554434337389,100.0,-10.601654259718774,1.846085644721673,100.0
burst,b2croi_v8q,cvoi_sf,10,0.006241782927388195,0.012716641451732359,30.0,-0.029008478081058726,0.006097405211985765,100.0,-0.3722084367245658,0.08928733062597811,100.0,0.0020416501749382253,0.0005440847803936171,100.0,0.1976674937965261,0.015553549100559245,0.0
burst,b2croi_v8q,oracle,10,-0.00028726933346840956,0.006642122927728259,50.0,0.0019308312655086858,0.0010639459060581369,10.0,0.023159636062861855,0.01821367913474017,10.0,0.3708795491849981,0.013911140194295452,100.0,-11.023622828784118,1.8413097062094592,100.0
severe_burst,b2croi_v8q,round_robin,10,-0.21713917021298457,0.03909697734130729,100.0,-0.09961047353184449,0.01042180519764087,100.0,-1.2903225806451615,0.16701507490832287,100.0,-1.5662998684773388e-05,1.956717676833732e-05,0.0,0.11394540942928044,0.05066488532460802,10.0
severe_burst,b2croi_v8q,max_aoi,10,-0.13436989951780304,0.01762042184281123,100.0,-0.07270083746898263,0.007820892495113266,100.0,-0.9197684036393712,0.13379028630105236,100.0,0.0011356419851507814,0.0006213217500376144,100.0,0.43559966914805626,0.03089969039268814,0.0
severe_burst,b2croi_v8q,channel_aware_rr,10,-0.14899630914832224,0.031221018449465617,100.0,-0.08090984284532671,0.009323126181210738,100.0,-1.042183622828784,0.17109174065970806,100.0,0.0011163020600299723,0.0006305356716051021,100.0,0.43559966914805626,0.03089969039268814,0.0
severe_burst,b2croi_v8q,error_trigger,10,0.014372673774751288,0.008147381118615947,10.0,-0.031195978081058735,0.006782171417146979,100.0,-0.4383788254755997,0.11692953442213551,100.0,0.3479930381680348,0.011444458797914734,100.0,-10.678560794044666,1.8384812087451932,100.0
severe_burst,b2croi_v8q,generic_voi,10,0.01116738822993495,0.008154010340518797,10.0,-0.03239324855252275,0.007311420003195286,100.0,-0.4532671629445823,0.11118941032584023,100.0,0.2896717729457393,0.01605147535666604,100.0,-10.343556658395368,1.8824385454916224,100.0
severe_burst,b2croi_v8q,cvoi_sf,10,0.0010465294970561812,0.011154005020794574,40.0,-0.029723945409429287,0.003873088289350338,100.0,-0.40033085194375523,0.0533429652083507,100.0,0.0024132575322929005,0.0013034751260905058,100.0,0.25333333333333335,0.025218408307682683,0.0
severe_burst,b2croi_v8q,oracle,10,-0.00825780411493715,0.007421119942261512,80.0,0.004566015301902398,0.0034517573057174125,20.0,0.061207609594706405,0.05251537910555815,10.0,0.340441366855177,0.012271766454120227,100.0,-10.655996691480562,1.831873883762306,100.0
