setting,network,window,rmse_delta,loss_delta,missed_pct_delta,fairness_delta,avg_aoi_delta
Missed weight 8,burst,1,0.012695348986379584,-0.03237696443341605,-0.3308519437551696,0.321248567290085,-5.77187758478081
Missed weight 8,burst,2,0.03480984686416766,-0.042307692307692296,-0.446650124069479,0.32056025805171806,-5.5493796526054595
Missed weight 8,burst,3,0.03311783587466166,-0.035489040529363115,-0.36393713813068646,0.2790191067198923,-3.194210090984284
Missed weight 8,burst,4,0.04295882087009417,-0.03251395781637717,-0.3308519437551697,0.3448716491965873,-7.047477253928867
Missed weight 8,burst,5,0.0060410751744753854,-0.02775020678246485,-0.31430934656741105,0.34215692336880155,-6.328866832092639
Missed weight 8,severe_burst,0,0.027824013031449546,-0.04093000413564932,-0.4301075268817205,0.2685227250227703,-3.721753515301902
Missed weight 8,severe_burst,1,0.009530993479183847,-0.04303143093465675,-0.43010752688172027,0.27192964814337384,-5.635401157981803
Missed weight 8,severe_burst,2,0.019082482821916713,-0.055960504549214224,-0.6617038875103389,0.3210211025830465,-5.61373035566584
Missed weight 8,severe_burst,3,0.0161623686708654,-0.03267679900744416,-0.3473945409429282,0.2541239357695052,-3.3116625310173697
Missed weight 8,severe_burst,4,0.02861133619723133,-0.04788047973531845,-0.5293631100082712,0.32829599796409226,-6.934160463192722
Missed weight 8,severe_burst,5,0.007601192178375404,-0.04354321753515303,-0.512820512820513,0.3354247143037592,-6.123242349048802
False-alarm weight 1,burst,0,0.019862360144689895,-0.044636579818031416,-0.6617038875103392,0.30028921623099636,-3.7559966914805623
False-alarm weight 1,burst,1,0.015450757037051788,-0.024454611248966092,-0.347394540942928,0.321248567290085,-5.778494623655914
False-alarm weight 1,burst,2,0.03480984686416766,-0.030893300248138952,-0.446650124069479,0.32056025805171806,-5.5493796526054595
False-alarm weight 1,burst,3,0.03311783587466166,-0.02589433416046319,-0.36393713813068646,0.2790191067198923,-3.194210090984284
False-alarm weight 1,burst,4,0.04295882087009417,-0.023498242349048792,-0.3308519437551697,0.3448716491965873,-7.047477253928867
False-alarm weight 1,burst,5,0.0060410751744753854,-0.02055417700578991,-0.31430934656741105,0.34215692336880155,-6.328866832092639
False-alarm weight 1,severe_burst,0,0.027824013031449546,-0.02984646401985111,-0.4301075268817205,0.2685227250227703,-3.7215880893300244
False-alarm weight 1,severe_burst,1,0.011268939153225466,-0.03503411910669976,-0.49627791563275436,0.27192964814337384,-5.640198511166252
False-alarm weight 1,severe_burst,2,0.019082482821916713,-0.04148573200992556,-0.6617038875103389,0.3210211025830465,-5.61373035566584
False-alarm weight 1,severe_burst,3,0.0161623686708654,-0.023909222497932175,-0.3473945409429282,0.2541239357695052,-3.3116625310173697
False-alarm weight 1,severe_burst,4,0.02861133619723133,-0.03514267990074442,-0.5293631100082712,0.32829599796409226,-6.934160463192722
False-alarm weight 1,severe_burst,5,0.007601192178375404,-0.03237696443341605,-0.512820512820513,0.3354247143037592,-6.123242349048802
False-alarm weight 2,burst,0,0.022180211850262088,-0.05069530603804796,-0.6617038875103392,0.30028921623099636,-3.740612076095947
False-alarm weight 2,burst,1,0.012695348986379584,-0.027827750206782458,-0.3308519437551696,0.321248567290085,-5.77187758478081
False-alarm weight 2,burst,2,0.029520398055999597,-0.03599048800661704,-0.446650124069479,0.32056025805171806,-5.546732837055417
False-alarm weight 2,burst,3,0.03311783587466166,-0.030526261373035567,-0.36393713813068646,0.2790191067198923,-3.194210090984284
False-alarm weight 2,burst,4,0.04239358441208074,-0.028311104218362276,-0.3308519437551697,0.3448716491965873,-7.043176178660049
False-alarm weight 2,burst,5,0.0060410751744753854,-0.022373862696443342,-0.31430934656741105,0.34215692336880155,-6.328866832092639
False-alarm weight 2,severe_burst,0,0.02227071575946571,-0.03532619933829609,-0.4301075268817205,0.2685227250227703,-3.727047146401985
False-alarm weight 2,severe_burst,1,0.009530993479183847,-0.03740694789081886,-0.43010752688172027,0.27192964814337384,-5.635401157981803
False-alarm weight 2,severe_burst,2,0.019082482821916713,-0.043967121588089325,-0.6617038875103389,0.3210211025830465,-5.615880893300249
False-alarm weight 2,severe_burst,3,0.0161623686708654,-0.027548593879239053,-0.3473945409429282,0.2541239357695052,-3.3116625310173697
False-alarm weight 2,severe_burst,4,0.02861133619723133,-0.039443755169561626,-0.5293631100082712,0.32829599796409226,-6.934160463192722
False-alarm weight 2,severe_burst,5,0.007601192178375404,-0.034196650124069486,-0.512820512820513,0.3354247143037592,-6.123242349048802
Channel loss x0.8,burst,0,0.01764296109461827,-0.04148573200992556,-0.5459057071960299,0.30240122581875595,-3.802315963606286
Channel loss x0.8,burst,1,0.004670872348251032,-0.021236559139784943,-0.23159636062861877,0.32772996677488064,-5.799503722084367
Channel loss x0.8,burst,2,0.04278692582678645,-0.04766077336641853,-0.6782464846980977,0.3266308722841659,-5.40893300248139
Channel loss x0.8,burst,3,0.023595909997855213,-0.030376344086021505,-0.39702233250620345,0.2892398510856836,-3.224979321753515
Channel loss x0.8,burst,4,0.04022769275641924,-0.024012613730355667,-0.29776674937965253,0.34510369863052115,-6.768734491315137
Channel loss x0.8,burst,5,0.006636483575600538,-0.022461745244003305,-0.3308519437551695,0.3459798960446827,-6.357816377171216
Channel loss x0.8,severe_burst,0,0.024876670598722006,-0.04665270885028951,-0.6782464846980978,0.2915500759507639,-3.722249793217535
Channel loss x0.8,severe_burst,1,0.0068386800725132035,-0.03653587675765094,-0.512820512820513,0.2957174029224565,-5.654921422663358
Channel loss x0.8,severe_burst,2,-0.003399671477529509,-0.0457557899090157,-0.6947890818858561,0.3071275193443628,-5.451612903225806
Channel loss x0.8,severe_burst,3,0.015046255476703463,-0.02813275434243176,-0.3639371381306865,0.2515281300218948,-3.349710504549214
Channel loss x0.8,severe_burst,4,0.04378392210494253,-0.032979218362282875,-0.47973531844499584,0.33158050435119435,-6.927708850289496
Channel loss x0.8,severe_burst,5,0.005240992493192875,-0.027419354838709678,-0.39702233250620345,0.3187648380667103,-6.194210090984285
Channel loss x1.2,burst,0,0.024766841764883085,-0.04595223325062034,-0.6286186931348221,0.3084127392934076,-3.8038047973531848
Channel loss x1.2,burst,1,0.011631008883652205,-0.026271712158808927,-0.3308519437551696,0.30573496043085013,-5.739950372208437
Channel loss x1.2,burst,2,0.039915032668629724,-0.028507547559966914,-0.3804797353184448,0.3267038997637798,-5.491315136476427
Channel loss x1.2,burst,3,0.02362460288681356,-0.02784325889164599,-0.3639371381306866,0.2744537120867675,-3.1468982630272953
Channel loss x1.2,burst,4,0.05134324274549873,-0.02630272952853599,-0.3639371381306864,0.34033404315624083,-6.893465674110835
Channel loss x1.2,burst,5,0.005179112077627446,-0.022963192721257242,-0.31430934656741105,0.3344911564060541,-6.174358974358974
Channel loss x1.2,severe_burst,0,0.009786699808308041,-0.036846050454921425,-0.46319272125723776,0.2614962831920844,-3.9356492969396193
Channel loss x1.2,severe_burst,1,0.0024145487396034504,-0.02818703473945411,-0.34739454094292777,0.28290268257452855,-5.536807278742764
Channel loss x1.2,severe_burst,2,0.017573853235680614,-0.0289159429280397,-0.4631927212572373,0.31522733419966775,-5.669478908188585
Channel loss x1.2,severe_burst,3,0.0046582946408901815,-0.0340312241521919,-0.512820512820513,0.2900897354273718,-3.5144747725392884
Channel loss x1.2,severe_burst,4,0.029844284004588495,-0.0430391852770885,-0.6120760959470637,0.31308506002540104,-6.51033912324235
Channel loss x1.2,severe_burst,5,0.0045935559062433295,-0.028866832092638545,-0.4466501240694789,0.3362091413577294,-5.708023159636063
