policy,network,seed,window_start,n_steps,rmse_mean,loss_mean,missed_violation_pct,false_alarm_pct,avg_aoi,max_aoi,choice_fairness,packet_success_pct,runtime_us_mean,final_dual_f,final_dual_s,mean_pbad,final_q_s,final_q_e,mean_q_f
round_robin,burst,2026,2016,2015,0.9771374434171829,0.20105459057071962,2.7129859387923903,1.555004135649297,1.5611248966087676,14.0,0.9999995074167035,86.0545905707196,0.9820445534015172,0.05,0.9967000000000037,0.13520417329675818,42.660666666666344,18.581041666666415,0.3333333333333333
max_aoi,burst,2026,2016,2015,0.9515012689240127,0.16786858974358973,2.133995037220844,1.7038875103391231,1.442183622828784,11.0,0.9996361132263979,86.0545905707196,4.65714990013457,0.05,0.9967000000000037,0.13520417329675818,30.993999999999676,17.228833333333125,12.999999999999536
channel_aware_rr,burst,2026,2016,2015,0.977260584943851,0.18547870140612077,2.4483043837882548,1.5715467328370554,1.442183622828784,11.0,0.9996361132263979,86.0545905707196,25.60241985748344,0.05,0.9820000000000036,0.13520417329675818,37.32733333333302,18.687958333333082,12.999999999999536
error_trigger,burst,2026,2016,2015,0.7716486750915749,0.1292778122415219,1.7369727047146404,1.0421836228287842,13.016873449131513,137.0,0.6174248938916795,86.0545905707196,4.394829847212077,1.2,0.82550000000001,0.13520417329675818,22.99399999999976,8.390333333333222,248.44444444444093
generic_voi,burst,2026,2016,2015,0.7821990583064565,0.13809708436724566,1.8527708850289495,1.1579818031430935,12.521588089330026,139.0,0.6803723944312428,86.0545905707196,6.728736478194049,1.2,0.9005000000000104,0.13520417329675818,25.32733333333298,8.817416666666588,216.88888888888755
cvoi_sf,burst,2026,2016,2015,0.7960327305643338,0.12677574441687345,1.621174524400331,1.3068651778329199,1.6190239867659222,12.0,0.9984591137666357,86.0545905707196,18.875519589061106,0.05,0.7654999999999961,0.13520417329675818,20.660666666666472,9.404374999999925,15.000000000000236
b2croi_hq,burst,2026,2016,2015,0.8033905185211094,0.0999612282878412,1.2737799834574028,0.8933002481389578,1.8009925558312656,17.0,0.9999935964549975,86.0545905707196,250.2424570622914,0.05,0.37549999999999134,0.13520417329675818,13.995333333333253,8.996041666666569,5.666666666666523
oracle,burst,2026,2016,2015,0.803062128776932,0.09608664185277088,1.240694789081886,0.76095947063689,12.94177005789909,138.0,0.6184818331029388,86.0545905707196,54.21477757991123,1.2,0.3454999999999913,0.13520417329675818,13.328666666666585,9.187958333333205,248.55555555555134
round_robin,burst,2027,4032,2015,0.9168786675360145,0.16003928866832093,1.9685690653432588,1.9189412737799834,1.6003308519437551,14.0,0.9999995074167035,85.31017369727047,0.6779175016002974,0.05,0.9961000000000004,0.14367932754275267,27.582666666666302,14.968541666666349,0.3333333333333333
max_aoi,burst,2027,4032,2015,0.9080294322128427,0.15140353598014888,1.8196856906534327,1.9520264681555006,1.451778329197684,11.0,0.9999404009440294,85.31017369727047,2.5702898015635594,0.05,0.975500000000016,0.14367932754275267,24.58266666666625,14.650374999999746,6.55555555555564
channel_aware_rr,burst,2027,4032,2015,0.906210304299913,0.14242142266335814,1.687344913151365,1.8858560794044668,1.451778329197684,11.0,0.9999226703646978,85.31017369727047,11.777860431980443,0.05,0.945500000000003,0.14367932754275267,21.915999999999638,14.488916666666396,6.55555555555564
error_trigger,burst,2027,4032,2015,0.6941677093377799,0.09126602564102564,1.0752688172043012,1.2737799834574028,11.981803143093465,142.0,0.6371340036678682,85.31017369727047,3.2868506326213036,1.2,0.3904999999999747,0.14367932754275267,10.065333333333252,4.032958333333394,236.88888888888553
generic_voi,burst,2027,4032,2015,0.7090900317951271,0.0942152605459057,1.108354011579818,1.3234077750206783,11.508188585607941,140.0,0.7015935486000269,85.31017369727047,7.464290866206537,1.2,0.45049999999996865,0.14367932754275267,10.731999999999907,4.4808750000000295,205.2222222222225
cvoi_sf,burst,2027,4032,2015,0.7238492798647975,0.10422870140612076,1.174524400330852,1.7038875103391231,1.631430934656741,12.0,0.9987096206073048,85.31017369727047,18.90780834990112,0.05,0.5104999999999661,0.14367932754275267,12.065333333333081,5.150375000000006,15.666666666666693
b2croi_hq,burst,2027,4032,2015,0.7372475592951915,0.05912169148056245,0.6120760959470637,0.9263854425144747,1.8173697270471465,15.0,0.9999995074167035,85.31017369727047,230.71616881185562,0.05,0.0890000000000001,0.14367932754275267,2.3633333333334097,5.760541666666631,4.44444444444429
oracle,burst,2027,4032,2015,0.7285917501631474,0.058077440033085195,0.5955334987593052,0.9263854425144747,11.922415219189412,142.0,0.6459254939186939,85.31017369727047,48.79675883419636,1.2,0.07400000000000011,0.14367932754275267,2.030000000000076,5.65637499999998,232.55555555555247
round_robin,burst,2028,6048,2015,0.9384895108201636,0.12741935483870967,1.4722911497105047,1.687344913151365,1.5288668320926386,20.0,0.9999995074167035,86.45161290322581,0.6575479075975864,0.05,0.7955000000000119,0.12972919858101153,18.422666666666327,16.27833333333313,0.3333333333333333
