loop,quantile,abs_residual_q,std,mean
0,0.5,0.058246620193056486,0.7751569643553975,-1.4920163257624554e-13
0,0.68,0.07303973188354718,0.7751569643553975,-1.4920163257624554e-13
0,0.8,0.9472982825143603,0.7751569643553975,-1.4920163257624554e-13
0,0.9,1.0212638409668209,0.7751569643553975,-1.4920163257624554e-13
0,0.95,1.082287940866621,0.7751569643553975,-1.4920163257624554e-13
0,0.975,2.004530013328735,0.7751569643553975,-1.4920163257624554e-13
0,0.99,3.00647072927633,0.7751569643553975,-1.4920163257624554e-13
1,0.5,0.06839682993220464,0.8380863508323092,-4.0483745388267e-13
1,0.68,0.0856280749681062,0.8380863508323092,-4.0483745388267e-13
1,0.8,0.9650093597167846,0.8380863508323092,-4.0483745388267e-13
1,0.9,1.0425499623783487,0.8380863508323092,-4.0483745388267e-13
1,0.95,1.9072846888465105,0.8380863508323092,-4.0483745388267e-13
1,0.975,2.0259442366393623,0.8380863508323092,-4.0483745388267e-13
1,0.99,3.972566677141419,0.8380863508323092,-4.0483745388267e-13
2,0.5,0.06598801221313977,0.8120433947325411,2.3332865829690387e-13
2,0.68,0.09123533754345381,0.8120433947325411,2.3332865829690387e-13
2,0.8,0.9655339863589626,0.8120433947325411,2.3332865829690387e-13
2,0.9,1.0300291526628387,0.8120433947325411,2.3332865829690387e-13
2,0.95,1.0939117148788569,0.8120433947325411,2.3332865829690387e-13
2,0.975,2.009753963777804,0.8120433947325411,2.3332865829690387e-13
2,0.99,3.8203239386526837,0.8120433947325411,2.3332865829690387e-13
