network,policy,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,false_alarm_pct_mean,false_alarm_pct_ci95,avg_aoi_mean,avg_aoi_ci95,max_aoi_mean,max_aoi_ci95,choice_fairness_mean,choice_fairness_ci95,packet_success_pct_mean,packet_success_pct_ci95,runtime_us_mean_mean,runtime_us_mean_ci95
burst,b2croi_v8,21,0.8448322206583635,0.06388518944547493,0.05196517192484935,0.008187271520275536,0.5246366536689118,0.11505157716503206,0.5931702705896255,0.14877309888381388,1.8075229430068138,0.039122894714364496,18.428571428571427,2.4102779922656223,0.9999900084128159,1.1774857212606116e-05,85.63866241285595,0.6597025483061522,225.84354042417925,1.1071229727462228
burst,cvoi_sf,21,0.8374448439330674,0.06284447670764787,0.07675112745677262,0.00959081514521249,0.8468234274685885,0.12795730945304076,0.9744377486312972,0.18892611029083342,1.6111623143881209,0.03338347835895537,14.333333333333334,1.1342976289806443,0.9972593702722798,0.0008214949103593623,85.63866241285595,0.6597025483061522,20.589167238427166,0.17962521031212386
burst,error_trigger,21,0.8185575003615456,0.06260017720383367,0.08063322206467367,0.008534435106317469,0.9366260979164206,0.1166146384718451,0.8980267044783173,0.17630553414195826,17.943763046988852,2.8043298548034725,184.47619047619048,22.173474042447907,0.5993043561661313,0.015461982777913046,85.63866241285595,0.6597025483061522,3.5887695209572295,0.1059627278704694
burst,generic_voi,21,0.8299317320424816,0.06379417188965109,0.08114870120918509,0.009397668193276735,0.9358383551931938,0.1295118655470148,0.9224467288983418,0.1630550956503067,17.538177951081177,2.798630783268011,183.38095238095238,22.063415671901556,0.6426942382928511,0.01738224489828623,85.63866241285595,0.6597025483061522,7.24264517794926,0.13992075715422267
burst,oracle,21,0.8478047145930337,0.0642394286046279,0.05029552660601048,0.007829511620890666,0.5041553428650203,0.11197497091890149,0.5529953917050692,0.15063380525445286,17.95171137106621,2.8114988873477085,184.47619047619048,22.179660752840903,0.6024690157116885,0.016541039752876362,85.63866241285595,0.6597025483061522,50.26783549146376,0.5109435626107397
burst,v8_no_constraint_bonus,21,0.8431289295074427,0.06447888312002631,0.05033134428295719,0.008003403965700555,0.504943085588247,0.11423229471217831,0.5648115325534682,0.15029634328056998,17.917483949742014,2.8086317198766775,184.61904761904762,22.16722665959316,0.6218834140443738,0.018658371662053974,85.63866241285595,0.6597025483061522,381.48647436534725,23.617361950767215
burst,v8_no_mode,21,0.8432909241970027,0.06439888496533742,0.050323466855724926,0.008006978113241936,0.504943085588247,0.11423229471217831,0.5640237898302415,0.15050635575310306,17.918279569892476,2.808859600271468,184.61904761904762,22.16722665959316,0.6218834140443738,0.018658371662053974,85.63866241285595,0.6597025483061522,382.3290875224584,24.28428920529895
burst,v8_no_reliability,21,0.8468449143914191,0.06396033408687504,0.05084571566426406,0.00803422435637459,0.5073063137579268,0.11341234867860561,0.584505100634133,0.1517061250973507,1.8090747961715703,0.03883121786445823,18.428571428571427,2.459116372466609,0.9999871945341153,1.720920896130053e-05,85.63866241285595,0.6597025483061522,226.64936817736782,0.9884655046469275
burst,v8_no_rmse_cost,21,0.8480624821917895,0.0637989845164664,0.050759063964709125,0.00802251382524315,0.5080940564811534,0.11413417043583468,0.572688959785734,0.1514607933638849,1.8096183386505966,0.03845814345294886,18.523809523809526,2.391410555392872,0.9999867723312996,1.7212863333131063e-05,85.63866241285595,0.6597025483061522,224.5678767588544,1.320886975637121
severe_burst,b2croi_v8,21,1.0599746870402298,0.0690032516517759,0.09854378372523535,0.012786600573794773,1.0579384772933162,0.19902440163284796,1.1335617787230692,0.2340404442293865,2.8429477332703144,0.09728239659768007,28.523809523809526,3.2024351845292847,0.9999556738351465,2.903030468308103e-05,71.5467328370554,0.9830789483439207,233.60741089911292,1.1114351395458495
severe_burst,cvoi_sf,21,1.059068119557758,0.0679994363639171,0.12531755878530074,0.014220208499515231,1.4147859309149633,0.22222365070989428,1.4974989168537554,0.25905594047892166,2.5794871794871788,0.09049638741634099,24.952380952380953,2.1234102550169407,0.9956690873134741,0.0015609432609075887,71.5467328370554,0.9830789483439207,20.948851904318456,0.37476937872034755
severe_burst,error_trigger,21,1.044885644777017,0.06721016024384355,0.1268370406475245,0.015002711999998286,1.4699279215408247,0.23540187486534023,1.401394304620111,0.2679894481368644,18.685162865808028,2.7904001128042575,184.95238095238096,21.94619764585909,0.6227003113321149,0.017093993927186798,71.5467328370554,0.9830789483439207,3.610874309026134,0.07111018398851571
severe_burst,generic_voi,21,1.0541937873036706,0.06835617094264056,0.1259124276261373,0.015841593421062065,1.436842727165308,0.24172862050917493,1.4581117806924258,0.2608821039565787,18.259773917838434,2.763882993368551,184.1904761904762,21.909550226125386,0.6742796911257782,0.021633532632439143,71.5467328370554,0.9830789483439207,7.308426117054607,0.09385230958318763
severe_burst,oracle,21,1.065296068233406,0.06882272996014611,0.09574421993776834,0.012354084827002934,1.0264287683642521,0.1937089706215312,1.057938477293316,0.2301238733312074,18.673913899720354,2.7869758788133536,185.0,21.9322411075567,0.6276842979659285,0.018422296081818338,71.5467328370554,0.9830789483439207,50.78565692163728,0.33717274204622166
severe_burst,v8_no_constraint_bonus,21,1.0600750986635974,0.06915674064964794,0.09631213320729451,0.012659620155616759,1.030367481980385,0.196883243182232,1.0933868998385128,0.23591828014417948,18.664169522234044,2.7961568643603467,184.52380952380952,21.992470630750983,0.648188700691916,0.021354992581316457,71.5467328370554,0.9830789483439207,388.7536063280587,24.801509611701903
severe_burst,v8_no_mode,21,1.0612241874358916,0.0692306870447627,0.09571369490724331,0.012236608405103086,1.0264287683642521,0.19168258243794542,1.0666036472488087,0.22882741389936884,18.679758950726697,2.79745941532049,184.66666666666666,22.01355259329529,0.6480150469020223,0.021335419999060082,71.5467328370554,0.9830789483439207,391.090241000897,23.918260835999973
severe_burst,v8_no_reliability,21,1.0606681725595377,0.06813420620437266,0.09662181456536294,0.012760220935357388,1.0358816810429714,0.19430246081662,1.0925991571152862,0.23861444454765107,2.8522824845405492,0.10027905590662636,29.666666666666668,3.244189335480351,0.9999508193691352,3.078368130178079e-05,71.5467328370554,0.9830789483439207,240.5537745312189,9.399059860399392
severe_burst,v8_no_rmse_cost,21,1.065142744687444,0.06843431894742184,0.09876016680452164,0.012538038693774721,1.061877190909449,0.19681300428947363,1.1209578951514434,0.24499543120706724,2.839418645870259,0.09626137544252057,28.904761904761905,3.254243042210858,0.9999590510708788,2.8388262576338212e-05,71.5467328370554,0.9830789483439207,234.6640897591341,5.828681081051699
