variable_set,network,policy,rmse_mean,loss_mean,missed_violation_pct,choice_fairness,runtime_us_mean,rmse_mean_ci95,loss_mean_ci95,missed_violation_pct_ci95,choice_fairness_ci95,runtime_us_mean_ci95
humidity_inside,burst,b2croi_v8q,0.3471849311177142,0.002950839680333565,0.03822098679638638,0.993071090438594,244.97981382427284,0.013299919442580372,0.0008923553206071317,0.014130058363778862,0.0006977387000722154,1.8401391337919337
humidity_inside,burst,cvoi_sf,0.46166146129530655,0.017116306810284917,0.21774380356729212,0.999686294098645,20.558452055489553,0.015822549624986856,0.0028448975907419956,0.03873686012844921,9.714949871757168e-05,0.12423463504113576
humidity_inside,burst,error_trigger,0.3429783299268575,0.011670524461431547,0.16041232337271255,0.9653163316665427,3.4967732975450994,0.012549536824395212,0.0022568352685222322,0.034037354865848295,0.0030180472991417776,0.041237105577149775
humidity_inside,burst,generic_voi,0.34289711517087706,0.012460991591382902,0.1702571230020848,0.9823661200270033,7.217029273460469,0.01259423939809188,0.0020016153376769094,0.028647879954299207,0.0023577902273630097,0.08080456269224727
humidity_inside,burst,oracle,0.3477968663823753,0.002655273940236275,0.03474635163307853,0.9648113988160854,50.24922437977358,0.013180565024334337,0.0008445334180700882,0.01310639943956065,0.00316198949041684,0.39429552224709485
humidity_inside,severe_burst,b2croi_v8q,0.5673125976753643,0.010724455293027565,0.1395645123928654,0.9954955333430846,250.12341048536126,0.027134442113965887,0.002394586206014645,0.036186207792284944,0.0005214850555250552,1.234211729508872
humidity_inside,severe_burst,cvoi_sf,0.6631781925478144,0.024708524924716237,0.3144544822793607,0.9987219681911388,20.591756821622333,0.02783681179249495,0.004078670067727961,0.058701173357848566,0.00030121929215959646,0.16256948775479568
humidity_inside,severe_burst,error_trigger,0.5561301111180407,0.020246090456335415,0.2808663423673848,0.9656725255706862,3.4430418451947027,0.024867204057314875,0.004120597185976182,0.0650500772845399,0.0032512521147047596,0.028037544562680546
humidity_inside,severe_burst,generic_voi,0.556196207123789,0.0207328553856845,0.2866574009728978,0.9823432592681167,7.168282272756589,0.025504462332928697,0.004191913809688203,0.06422212881903805,0.0025520252478999734,0.056264916287633915
humidity_inside,severe_burst,oracle,0.5626937544432316,0.009451719249478803,0.1250868658790827,0.9653927215624541,50.284458975599854,0.025222673096557215,0.0022948394393322202,0.03583071516614537,0.0033129815746344416,0.30876526323563946
temperature_inside,burst,b2croi_v8q,0.23165337605690492,0.005715211807968496,0.07180912670836229,0.9999551505923409,244.9206575443318,0.010307813765046156,0.0013491334513436402,0.02055015532856762,3.462883309255011e-05,1.5364692573501535
temperature_inside,burst,cvoi_sf,0.2547063457770279,0.023153376187167014,0.2860782951123465,0.9995423059787744,20.740160001703952,0.009488430879469439,0.002514062439008002,0.03604214019016375,0.00012119832807742304,0.141272915823059
temperature_inside,burst,error_trigger,0.2293417441410106,0.01761320129719713,0.2322214500810748,0.8903576723423356,3.51113664766041,0.009946247868021368,0.0020825846818991346,0.03179328071892039,0.005833782695324439,0.030687674085308387
temperature_inside,burst,generic_voi,0.22879237663504343,0.017317153260365994,0.22585128561501042,0.9119245942031429,7.2979878415703086,0.009900174034227232,0.002556176698459411,0.039811803300996845,0.00471625983195854,0.0784849389996561
temperature_inside,burst,oracle,0.2332225719152438,0.00453610348621728,0.05443595089182303,0.8914359850131046,50.60191451762968,0.010531289234824145,0.001239565870423491,0.018856825076811936,0.0060555006409779375,0.24086854636326438
temperature_inside,severe_burst,b2croi_v8q,0.3741850552481217,0.017546538973824417,0.21311095668288163,0.9998466676974355,247.99876868822875,0.023819842596904412,0.004280123545047314,0.06458144244455202,9.571219165031283e-05,1.077769617022864
temperature_inside,severe_burst,cvoi_sf,0.39792538410942313,0.03663871409543665,0.4586518415566365,0.9986686390665603,20.76806261251429,0.02400623844192025,0.005017334082780126,0.0754868394294303,0.00033341501443279913,0.16832922955246657
temperature_inside,severe_burst,error_trigger,0.36771387923794163,0.028834237896687515,0.36657400972897847,0.9029339984878131,3.4513944989155076,0.023658084526681177,0.0047378641984435164,0.07246250779808347,0.005586086402493551,0.027422161262576107
temperature_inside,severe_burst,generic_voi,0.3682429915398906,0.02925174701760482,0.3741023859161455,0.9278199792385131,7.1647829598474715,0.02346246957166083,0.004969815110752413,0.07632849476551688,0.0054727340059225315,0.05684958301516986
temperature_inside,severe_burst,oracle,0.3724443981491228,0.014119901841556638,0.16909891128098214,0.9038697671500853,50.40855696944221,0.023746453125109094,0.003552262623386026,0.05328062313023504,0.005540907203614607,0.23706754519630213
